"name","symbol","value","unit","si_value","role"
"C_sweep","C","0.5;1;10;100;1000","pM","0.5e-9 to 1e-6 mol/m^3","HER2 concentration sweep"
"Dissociation constant","Kd","10","pM","1E-11","Binding affinity"
"Forward rate constant","kf","10000000","1/(M*s)","10000000","Association kinetics"
"Reverse rate constant","kr","0.0001","1/s","0.0001","Dissociation kinetics"
"Cortex diffusivity","Dcortex","8e-11","m^2/s","8e-11","Transport"
"Diffusivity ratio","r","0.1;0.25;0.5;0.75;1.0","-","same","Transport sweep"
"GFET width","W","20","um","2E-05","Electrical response"
"GFET length","L","2","um","2E-06","Electrical response"
"Mobility","mu","0.1","m^2/(V*s)","0.1","Electrical response"
"Drain-source voltage","Vds","50","mV","0.05","Electrical response"
"Coupling efficiency","alpha","0.01;0.03","-","same","Electrical sweep"
"Noise floor","Ids_min","10;50","pA","10e-12;50e-12","LOD sweep"
