"concentration_pM","Kd_pM","alpha_0","noise_floor_A","noise_floor_pA","N_bound","DeltaIds_A","DeltaIds_pA","detection_threshold_pA","sensitivity_A_per_pM","LOD_pM","detectable","scientific_conclusion"
"0.5","1","0.01","1E-11","10","60.7486594535099","1.21662603404046E-10","121.662603404046","30","2.24102576080379E-11","1.33867269732945","True","detectable under this coupling/noise/affinity condition"
"1","1","0.01","1E-11","10","93.1840859531965","1.86621706468574E-10","186.621706468574","30","2.24102576080379E-11","1.33867269732945","True","detectable under this coupling/noise/affinity condition"
"10","1","0.01","1E-11","10","179.384876805256","3.59257822637938E-10","359.257822637938","30","2.24102576080379E-11","1.33867269732945","True","detectable under this coupling/noise/affinity condition"
"100","1","0.01","1E-11","10","197.67057401879","3.9587896865284E-10","395.87896865284","30","2.24102576080379E-11","1.33867269732945","True","detectable under this coupling/noise/affinity condition"
"1000","1","0.01","1E-11","10","199.706291208394","3.9995594179611E-10","399.95594179611","30","2.24102576080379E-11","1.33867269732945","True","detectable under this coupling/noise/affinity condition"
"0.5","1","0.01","5E-11","50","60.7486594535099","1.21662603404046E-10","121.662603404046","150","2.24102576080379E-11","6.69336348664725","False","not detectable under this coupling/noise/affinity condition"
"1","1","0.01","5E-11","50","93.1840859531965","1.86621706468574E-10","186.621706468574","150","2.24102576080379E-11","6.69336348664725","True","detectable under this coupling/noise/affinity condition"
"10","1","0.01","5E-11","50","179.384876805256","3.59257822637938E-10","359.257822637938","150","2.24102576080379E-11","6.69336348664725","True","detectable under this coupling/noise/affinity condition"
"100","1","0.01","5E-11","50","197.67057401879","3.9587896865284E-10","395.87896865284","150","2.24102576080379E-11","6.69336348664725","True","detectable under this coupling/noise/affinity condition"
"1000","1","0.01","5E-11","50","199.706291208394","3.9995594179611E-10","399.95594179611","150","2.24102576080379E-11","6.69336348664725","True","detectable under this coupling/noise/affinity condition"
"0.5","1","0.01","1E-10","100","60.7486594535099","1.21662603404046E-10","121.662603404046","300","2.24102576080379E-11","13.3867269732945","False","not detectable under this coupling/noise/affinity condition"
"1","1","0.01","1E-10","100","93.1840859531965","1.86621706468574E-10","186.621706468574","300","2.24102576080379E-11","13.3867269732945","False","not detectable under this coupling/noise/affinity condition"
"10","1","0.01","1E-10","100","179.384876805256","3.59257822637938E-10","359.257822637938","300","2.24102576080379E-11","13.3867269732945","True","detectable under this coupling/noise/affinity condition"
"100","1","0.01","1E-10","100","197.67057401879","3.9587896865284E-10","395.87896865284","300","2.24102576080379E-11","13.3867269732945","True","detectable under this coupling/noise/affinity condition"
"1000","1","0.01","1E-10","100","199.706291208394","3.9995594179611E-10","399.95594179611","300","2.24102576080379E-11","13.3867269732945","True","detectable under this coupling/noise/affinity condition"
"0.5","1","0.03","1E-11","10","60.7486594535099","3.64987810212138E-10","364.987810212138","30","6.72307728241139E-11","0.44622423244315","True","detectable under this coupling/noise/affinity condition"
"1","1","0.03","1E-11","10","93.1840859531965","5.59865119405721E-10","559.865119405721","30","6.72307728241139E-11","0.44622423244315","True","detectable under this coupling/noise/affinity condition"
"10","1","0.03","1E-11","10","179.384876805256","1.07777346791381E-09","1077.77346791381","30","6.72307728241139E-11","0.44622423244315","True","detectable under this coupling/noise/affinity condition"
"100","1","0.03","1E-11","10","197.67057401879","1.18763690595852E-09","1187.63690595852","30","6.72307728241139E-11","0.44622423244315","True","detectable under this coupling/noise/affinity condition"
"1000","1","0.03","1E-11","10","199.706291208394","1.19986782538833E-09","1199.86782538833","30","6.72307728241139E-11","0.44622423244315","True","detectable under this coupling/noise/affinity condition"
"0.5","1","0.03","5E-11","50","60.7486594535099","3.64987810212138E-10","364.987810212138","150","6.72307728241139E-11","2.23112116221575","True","detectable under this coupling/noise/affinity condition"
"1","1","0.03","5E-11","50","93.1840859531965","5.59865119405721E-10","559.865119405721","150","6.72307728241139E-11","2.23112116221575","True","detectable under this coupling/noise/affinity condition"
"10","1","0.03","5E-11","50","179.384876805256","1.07777346791381E-09","1077.77346791381","150","6.72307728241139E-11","2.23112116221575","True","detectable under this coupling/noise/affinity condition"
"100","1","0.03","5E-11","50","197.67057401879","1.18763690595852E-09","1187.63690595852","150","6.72307728241139E-11","2.23112116221575","True","detectable under this coupling/noise/affinity condition"
"1000","1","0.03","5E-11","50","199.706291208394","1.19986782538833E-09","1199.86782538833","150","6.72307728241139E-11","2.23112116221575","True","detectable under this coupling/noise/affinity condition"
"0.5","1","0.03","1E-10","100","60.7486594535099","3.64987810212138E-10","364.987810212138","300","6.72307728241139E-11","4.4622423244315","True","detectable under this coupling/noise/affinity condition"
"1","1","0.03","1E-10","100","93.1840859531965","5.59865119405721E-10","559.865119405721","300","6.72307728241139E-11","4.4622423244315","True","detectable under this coupling/noise/affinity condition"
"10","1","0.03","1E-10","100","179.384876805256","1.07777346791381E-09","1077.77346791381","300","6.72307728241139E-11","4.4622423244315","True","detectable under this coupling/noise/affinity condition"
"100","1","0.03","1E-10","100","197.67057401879","1.18763690595852E-09","1187.63690595852","300","6.72307728241139E-11","4.4622423244315","True","detectable under this coupling/noise/affinity condition"
"1000","1","0.03","1E-10","100","199.706291208394","1.19986782538833E-09","1199.86782538833","300","6.72307728241139E-11","4.4622423244315","True","detectable under this coupling/noise/affinity condition"
"0.5","1","0.1","1E-11","10","60.7486594535099","1.21662603404046E-09","1216.62603404046","30","2.24102576080379E-10","0.133867269732945","True","detectable under this coupling/noise/affinity condition"
"1","1","0.1","1E-11","10","93.1840859531965","1.86621706468574E-09","1866.21706468574","30","2.24102576080379E-10","0.133867269732945","True","detectable under this coupling/noise/affinity condition"
"10","1","0.1","1E-11","10","179.384876805256","3.59257822637938E-09","3592.57822637938","30","2.24102576080379E-10","0.133867269732945","True","detectable under this coupling/noise/affinity condition"
"100","1","0.1","1E-11","10","197.67057401879","3.9587896865284E-09","3958.7896865284","30","2.24102576080379E-10","0.133867269732945","True","detectable under this coupling/noise/affinity condition"
"1000","1","0.1","1E-11","10","199.706291208394","3.9995594179611E-09","3999.5594179611","30","2.24102576080379E-10","0.133867269732945","True","detectable under this coupling/noise/affinity condition"
"0.5","1","0.1","5E-11","50","60.7486594535099","1.21662603404046E-09","1216.62603404046","150","2.24102576080379E-10","0.669336348664725","True","detectable under this coupling/noise/affinity condition"
"1","1","0.1","5E-11","50","93.1840859531965","1.86621706468574E-09","1866.21706468574","150","2.24102576080379E-10","0.669336348664725","True","detectable under this coupling/noise/affinity condition"
"10","1","0.1","5E-11","50","179.384876805256","3.59257822637938E-09","3592.57822637938","150","2.24102576080379E-10","0.669336348664725","True","detectable under this coupling/noise/affinity condition"
"100","1","0.1","5E-11","50","197.67057401879","3.9587896865284E-09","3958.7896865284","150","2.24102576080379E-10","0.669336348664725","True","detectable under this coupling/noise/affinity condition"
"1000","1","0.1","5E-11","50","199.706291208394","3.9995594179611E-09","3999.5594179611","150","2.24102576080379E-10","0.669336348664725","True","detectable under this coupling/noise/affinity condition"
"0.5","1","0.1","1E-10","100","60.7486594535099","1.21662603404046E-09","1216.62603404046","300","2.24102576080379E-10","1.33867269732945","True","detectable under this coupling/noise/affinity condition"
"1","1","0.1","1E-10","100","93.1840859531965","1.86621706468574E-09","1866.21706468574","300","2.24102576080379E-10","1.33867269732945","True","detectable under this coupling/noise/affinity condition"
"10","1","0.1","1E-10","100","179.384876805256","3.59257822637938E-09","3592.57822637938","300","2.24102576080379E-10","1.33867269732945","True","detectable under this coupling/noise/affinity condition"
"100","1","0.1","1E-10","100","197.67057401879","3.9587896865284E-09","3958.7896865284","300","2.24102576080379E-10","1.33867269732945","True","detectable under this coupling/noise/affinity condition"
"1000","1","0.1","1E-10","100","199.706291208394","3.9995594179611E-09","3999.5594179611","300","2.24102576080379E-10","1.33867269732945","True","detectable under this coupling/noise/affinity condition"
"0.5","10","0.01","1E-11","10","8.36133875432868","1.67454269764301E-11","16.7454269764301","30","1.75615290038568E-11","1.70827950080038","False","not detectable under this coupling/noise/affinity condition"
"1","10","0.01","1E-11","10","16.0514034804785","3.21464794991611E-11","32.1464794991611","30","1.75615290038568E-11","1.70827950080038","True","detectable under this coupling/noise/affinity condition"
"10","10","0.01","1E-11","10","93.1840859531965","1.86621706468574E-10","186.621706468574","30","1.75615290038568E-11","1.70827950080038","True","detectable under this coupling/noise/affinity condition"
"100","10","0.01","1E-11","10","179.384876805256","3.59257822637938E-10","359.257822637938","30","1.75615290038568E-11","1.70827950080038","True","detectable under this coupling/noise/affinity condition"
"1000","10","0.01","1E-11","10","197.67057401879","3.9587896865284E-10","395.87896865284","30","1.75615290038568E-11","1.70827950080038","True","detectable under this coupling/noise/affinity condition"
"0.5","10","0.01","5E-11","50","8.36133875432868","1.67454269764301E-11","16.7454269764301","150","1.75615290038568E-11","8.54139750400192","False","not detectable under this coupling/noise/affinity condition"
"1","10","0.01","5E-11","50","16.0514034804785","3.21464794991611E-11","32.1464794991611","150","1.75615290038568E-11","8.54139750400192","False","not detectable under this coupling/noise/affinity condition"
"10","10","0.01","5E-11","50","93.1840859531965","1.86621706468574E-10","186.621706468574","150","1.75615290038568E-11","8.54139750400192","True","detectable under this coupling/noise/affinity condition"
"100","10","0.01","5E-11","50","179.384876805256","3.59257822637938E-10","359.257822637938","150","1.75615290038568E-11","8.54139750400192","True","detectable under this coupling/noise/affinity condition"
"1000","10","0.01","5E-11","50","197.67057401879","3.9587896865284E-10","395.87896865284","150","1.75615290038568E-11","8.54139750400192","True","detectable under this coupling/noise/affinity condition"
"0.5","10","0.01","1E-10","100","8.36133875432868","1.67454269764301E-11","16.7454269764301","300","1.75615290038568E-11","17.0827950080038","False","not detectable under this coupling/noise/affinity condition"
"1","10","0.01","1E-10","100","16.0514034804785","3.21464794991611E-11","32.1464794991611","300","1.75615290038568E-11","17.0827950080038","False","not detectable under this coupling/noise/affinity condition"
"10","10","0.01","1E-10","100","93.1840859531965","1.86621706468574E-10","186.621706468574","300","1.75615290038568E-11","17.0827950080038","False","not detectable under this coupling/noise/affinity condition"
"100","10","0.01","1E-10","100","179.384876805256","3.59257822637938E-10","359.257822637938","300","1.75615290038568E-11","17.0827950080038","True","detectable under this coupling/noise/affinity condition"
"1000","10","0.01","1E-10","100","197.67057401879","3.9587896865284E-10","395.87896865284","300","1.75615290038568E-11","17.0827950080038","True","detectable under this coupling/noise/affinity condition"
"0.5","10","0.03","1E-11","10","8.36133875432868","5.02362809292903E-11","50.2362809292903","30","5.26845870115705E-11","0.569426500266795","True","detectable under this coupling/noise/affinity condition"
"1","10","0.03","1E-11","10","16.0514034804785","9.64394384974832E-11","96.4394384974832","30","5.26845870115705E-11","0.569426500266795","True","detectable under this coupling/noise/affinity condition"
"10","10","0.03","1E-11","10","93.1840859531965","5.59865119405721E-10","559.865119405721","30","5.26845870115705E-11","0.569426500266795","True","detectable under this coupling/noise/affinity condition"
