concentration_pM,sensor_surface_c_avg_6000s_pM,Kd_pM,alpha0,noise_floor_pA,lambda_D_nm,effective_charge_distance_nm,N_bound,alpha_eff,DeltaIds_screened_A,DeltaIds_screened_pA,detection_threshold_pA,detectable,required_alpha0_for_detection,maximum_allowed_distance_nm,maximum_allowed_noise_floor_pA
0.5,0.436455382421082,1.0,0.01,1.0,0.8,0.5,60.748659453509866,0.005352614285189903,6.512129889538899e-11,65.12129889538899,3.0,True,0.0004606787719052115,2.9621115032076126,21.70709963179633
0.5,0.436455382421082,1.0,0.01,1.0,0.8,1.0,60.748659453509866,0.002865047968601901,3.485691947375804e-11,34.85691947375804,3.0,True,0.0008606612532867523,2.9621115032076126,11.618973157919347
0.5,0.436455382421082,1.0,0.01,1.0,0.8,2.0,60.748659453509866,0.0008208499862389881,9.986674633001054e-12,9.986674633001055,3.0,True,0.0030040029441696977,2.9621115032076126,3.328891544333685
0.5,0.436455382421082,1.0,0.01,1.0,0.8,5.0,60.748659453509866,1.9304541362277093e-05,2.348640759655718e-13,0.2348640759655718,3.0,False,0.12773345551746976,2.9621115032076126,0.07828802532185726
0.5,0.436455382421082,1.0,0.01,1.0,0.8,10.0,60.748659453509866,3.726653172078671e-08,4.53394326899037e-16,0.00045339432689903695,3.0,False,66.16756809725253,2.9621115032076126,0.000151131442299679
0.5,0.436455382421082,1.0,0.01,1.0,3.0,0.5,60.748659453509866,0.008464817248906142,1.0298517038413947e-10,102.98517038413948,3.0,True,0.0002913040769666022,11.107918137028548,34.32839012804649
0.5,0.436455382421082,1.0,0.01,1.0,3.0,1.0,60.748659453509866,0.007165313105737893,8.717506466492016e-11,87.17506466492016,3.0,True,0.0003441351046347111,11.107918137028548,29.05835488830672
0.5,0.436455382421082,1.0,0.01,1.0,3.0,2.0,60.748659453509866,0.005134171190325921,6.246366333371007e-11,62.463663333710066,3.0,True,0.00048027922793650427,11.107918137028548,20.82122111123669
0.5,0.436455382421082,1.0,0.01,1.0,3.0,5.0,60.748659453509866,0.0018887560283756184,2.2979097560726373e-11,22.979097560726373,3.0,True,0.0013055342978861393,11.107918137028548,7.659699186908791
0.5,0.436455382421082,1.0,0.01,1.0,3.0,10.0,60.748659453509866,0.00035673993347252396,4.34019090444534e-12,4.34019090444534,3.0,True,0.006912138350705541,11.107918137028548,1.44673030148178
0.5,0.436455382421082,1.0,0.01,1.0,9.6,0.5,60.748659453509866,0.009492497594001751,1.154881970092895e-10,115.48819700928951,3.0,True,0.0002597668054129107,35.54533803849135,38.49606566976316
0.5,0.436455382421082,1.0,0.01,1.0,9.6,1.0,60.748659453509866,0.009010751057212905,1.0962714322462809e-10,109.6271432246281,3.0,True,0.0002736548551532482,35.54533803849135,36.542381074876026
0.5,0.436455382421082,1.0,0.01,1.0,9.6,2.0,60.748659453509866,0.00811936346150635,9.878228967105482e-11,98.78228967105483,3.0,True,0.00030369816391075815,35.54533803849135,32.927429890351604
0.5,0.436455382421082,1.0,0.01,1.0,9.6,5.0,60.748659453509866,0.0059402532055363505,7.227066698647813e-11,72.27066698647813,3.0,True,0.0004151061730980429,35.54533803849135,24.090222328826044
0.5,0.436455382421082,1.0,0.01,1.0,9.6,10.0,60.748659453509866,0.003528660814588489,4.2930606123267684e-11,42.93060612326769,3.0,True,0.0006988021532670719,35.54533803849135,14.310202041089228
0.5,0.436455382421082,1.0,0.01,5.0,0.8,0.5,60.748659453509866,0.005352614285189903,6.512129889538899e-11,65.12129889538899,15.0,True,0.0023033938595260575,1.6745611732603323,21.70709963179633
0.5,0.436455382421082,1.0,0.01,5.0,0.8,1.0,60.748659453509866,0.002865047968601901,3.485691947375804e-11,34.85691947375804,15.0,True,0.004303306266433762,1.6745611732603323,11.618973157919347
0.5,0.436455382421082,1.0,0.01,5.0,0.8,2.0,60.748659453509866,0.0008208499862389881,9.986674633001054e-12,9.986674633001055,15.0,False,0.015020014720848488,1.6745611732603323,3.328891544333685
0.5,0.436455382421082,1.0,0.01,5.0,0.8,5.0,60.748659453509866,1.9304541362277093e-05,2.348640759655718e-13,0.2348640759655718,15.0,False,0.6386672775873488,1.6745611732603323,0.07828802532185726
0.5,0.436455382421082,1.0,0.01,5.0,0.8,10.0,60.748659453509866,3.726653172078671e-08,4.53394326899037e-16,0.00045339432689903695,15.0,False,330.8378404862626,1.6745611732603323,0.000151131442299679
0.5,0.436455382421082,1.0,0.01,5.0,3.0,0.5,60.748659453509866,0.008464817248906142,1.0298517038413947e-10,102.98517038413948,15.0,True,0.0014565203848330107,6.279604399726246,34.32839012804649
0.5,0.436455382421082,1.0,0.01,5.0,3.0,1.0,60.748659453509866,0.007165313105737893,8.717506466492016e-11,87.17506466492016,15.0,True,0.0017206755231735551,6.279604399726246,29.05835488830672
0.5,0.436455382421082,1.0,0.01,5.0,3.0,2.0,60.748659453509866,0.005134171190325921,6.246366333371007e-11,62.463663333710066,15.0,True,0.0024013961396825213,6.279604399726246,20.82122111123669
0.5,0.436455382421082,1.0,0.01,5.0,3.0,5.0,60.748659453509866,0.0018887560283756184,2.2979097560726373e-11,22.979097560726373,15.0,True,0.006527671489430696,6.279604399726246,7.659699186908791
0.5,0.436455382421082,1.0,0.01,5.0,3.0,10.0,60.748659453509866,0.00035673993347252396,4.34019090444534e-12,4.34019090444534,15.0,False,0.0345606917535277,6.279604399726246,1.44673030148178
0.5,0.436455382421082,1.0,0.01,5.0,9.6,0.5,60.748659453509866,0.009492497594001751,1.154881970092895e-10,115.48819700928951,15.0,True,0.0012988340270645533,20.094734079123985,38.49606566976316
0.5,0.436455382421082,1.0,0.01,5.0,9.6,1.0,60.748659453509866,0.009010751057212905,1.0962714322462809e-10,109.6271432246281,15.0,True,0.001368274275766241,20.094734079123985,36.542381074876026
0.5,0.436455382421082,1.0,0.01,5.0,9.6,2.0,60.748659453509866,0.00811936346150635,9.878228967105482e-11,98.78228967105483,15.0,True,0.0015184908195537907,20.094734079123985,32.927429890351604
0.5,0.436455382421082,1.0,0.01,5.0,9.6,5.0,60.748659453509866,0.0059402532055363505,7.227066698647813e-11,72.27066698647813,15.0,True,0.002075530865490214,20.094734079123985,24.090222328826044
0.5,0.436455382421082,1.0,0.01,5.0,9.6,10.0,60.748659453509866,0.003528660814588489,4.2930606123267684e-11,42.93060612326769,15.0,True,0.003494010766335359,20.094734079123985,14.310202041089228
0.5,0.436455382421082,1.0,0.01,10.0,0.8,0.5,60.748659453509866,0.005352614285189903,6.512129889538899e-11,65.12129889538899,30.0,True,0.004606787719052115,1.1200434288123762,21.70709963179633
0.5,0.436455382421082,1.0,0.01,10.0,0.8,1.0,60.748659453509866,0.002865047968601901,3.485691947375804e-11,34.85691947375804,30.0,True,0.008606612532867524,1.1200434288123762,11.618973157919347
0.5,0.436455382421082,1.0,0.01,10.0,0.8,2.0,60.748659453509866,0.0008208499862389881,9.986674633001054e-12,9.986674633001055,30.0,False,0.030040029441696977,1.1200434288123762,3.328891544333685
0.5,0.436455382421082,1.0,0.01,10.0,0.8,5.0,60.748659453509866,1.9304541362277093e-05,2.348640759655718e-13,0.2348640759655718,30.0,False,1.2773345551746975,1.1200434288123762,0.07828802532185726
0.5,0.436455382421082,1.0,0.01,10.0,0.8,10.0,60.748659453509866,3.726653172078671e-08,4.53394326899037e-16,0.00045339432689903695,30.0,False,661.6756809725252,1.1200434288123762,0.000151131442299679
0.5,0.436455382421082,1.0,0.01,10.0,3.0,0.5,60.748659453509866,0.008464817248906142,1.0298517038413947e-10,102.98517038413948,30.0,True,0.0029130407696660214,4.2001628580464105,34.32839012804649
0.5,0.436455382421082,1.0,0.01,10.0,3.0,1.0,60.748659453509866,0.007165313105737893,8.717506466492016e-11,87.17506466492016,30.0,True,0.0034413510463471102,4.2001628580464105,29.05835488830672
0.5,0.436455382421082,1.0,0.01,10.0,3.0,2.0,60.748659453509866,0.005134171190325921,6.246366333371007e-11,62.463663333710066,30.0,True,0.0048027922793650426,4.2001628580464105,20.82122111123669
0.5,0.436455382421082,1.0,0.01,10.0,3.0,5.0,60.748659453509866,0.0018887560283756184,2.2979097560726373e-11,22.979097560726373,30.0,False,0.013055342978861392,4.2001628580464105,7.659699186908791
0.5,0.436455382421082,1.0,0.01,10.0,3.0,10.0,60.748659453509866,0.00035673993347252396,4.34019090444534e-12,4.34019090444534,30.0,False,0.0691213835070554,4.2001628580464105,1.44673030148178
0.5,0.436455382421082,1.0,0.01,10.0,9.6,0.5,60.748659453509866,0.009492497594001751,1.154881970092895e-10,115.48819700928951,30.0,True,0.0025976680541291066,13.440521145748512,38.49606566976316
