concentration_pM,Kd_pM,alpha0,noise_floor_pA,lambda_D_nm,maximum_allowed_distance_nm
0.5,1.0,0.01,1.0,0.8,2.9621115032076126
0.5,1.0,0.01,1.0,3.0,11.107918137028548
0.5,1.0,0.01,1.0,9.6,35.54533803849135
0.5,1.0,0.01,5.0,0.8,1.6745611732603323
0.5,1.0,0.01,5.0,3.0,6.279604399726246
0.5,1.0,0.01,5.0,9.6,20.094734079123985
0.5,1.0,0.01,10.0,0.8,1.1200434288123762
0.5,1.0,0.01,10.0,3.0,4.2001628580464105
0.5,1.0,0.01,10.0,9.6,13.440521145748512
0.5,1.0,0.01,50.0,0.8,0.0
0.5,1.0,0.01,50.0,3.0,0.0
0.5,1.0,0.01,50.0,9.6,0.0
0.5,1.0,0.01,100.0,0.8,0.0
0.5,1.0,0.01,100.0,3.0,0.0
0.5,1.0,0.01,100.0,9.6,0.0
0.5,1.0,0.03,1.0,0.8,3.841001334142101
0.5,1.0,0.03,1.0,3.0,14.403755003032877
0.5,1.0,0.03,1.0,9.6,46.092016009705205
0.5,1.0,0.03,5.0,0.8,2.5534510041948204
0.5,1.0,0.03,5.0,3.0,9.575441265730575
0.5,1.0,0.03,5.0,9.6,30.64141205033784
0.5,1.0,0.03,10.0,0.8,1.998933259746864
0.5,1.0,0.03,10.0,3.0,7.49599972405074
0.5,1.0,0.03,10.0,9.6,23.987199116962366
0.5,1.0,0.03,50.0,0.8,0.7113829297995835
0.5,1.0,0.03,50.0,3.0,2.667685986748438
0.5,1.0,0.03,50.0,9.6,8.536595157595002
0.5,1.0,0.03,100.0,0.8,0.15686518535162725
0.5,1.0,0.03,100.0,3.0,0.5882444450686022
0.5,1.0,0.03,100.0,9.6,1.8823822242195267
0.5,1.0,0.1,1.0,0.8,4.8041795776028495
0.5,1.0,0.1,1.0,3.0,18.015673416010685
0.5,1.0,0.1,1.0,9.6,57.65015493123419
0.5,1.0,0.1,5.0,0.8,3.516629247655569
0.5,1.0,0.1,5.0,3.0,13.187359678708383
0.5,1.0,0.1,5.0,9.6,42.19955097186683
0.5,1.0,0.1,10.0,0.8,2.9621115032076126
0.5,1.0,0.1,10.0,3.0,11.107918137028548
0.5,1.0,0.1,10.0,9.6,35.54533803849135
0.5,1.0,0.1,50.0,0.8,1.6745611732603327
0.5,1.0,0.1,50.0,3.0,6.279604399726248
0.5,1.0,0.1,50.0,9.6,20.09473407912399
0.5,1.0,0.1,100.0,0.8,1.1200434288123764
0.5,1.0,0.1,100.0,3.0,4.200162858046411
0.5,1.0,0.1,100.0,9.6,13.440521145748514
0.5,10.0,0.01,1.0,0.8,1.3756103327957532
0.5,10.0,0.01,1.0,3.0,5.158538747984074
0.5,10.0,0.01,1.0,9.6,16.507323993549036
0.5,10.0,0.01,5.0,0.8,0.08806000284847278
