concentration_pM,Kd_pM,alpha0,lambda_D_nm,effective_charge_distance_nm,maximum_allowed_noise_floor_pA
0.5,1.0,0.01,0.8,0.5,21.70709963179633
0.5,1.0,0.01,0.8,1.0,11.618973157919347
0.5,1.0,0.01,0.8,2.0,3.328891544333685
0.5,1.0,0.01,0.8,5.0,0.07828802532185726
0.5,1.0,0.01,0.8,10.0,0.000151131442299679
0.5,1.0,0.01,3.0,0.5,34.32839012804649
0.5,1.0,0.01,3.0,1.0,29.05835488830672
0.5,1.0,0.01,3.0,2.0,20.82122111123669
0.5,1.0,0.01,3.0,5.0,7.659699186908791
0.5,1.0,0.01,3.0,10.0,1.44673030148178
0.5,1.0,0.01,9.6,0.5,38.49606566976316
0.5,1.0,0.01,9.6,1.0,36.542381074876026
0.5,1.0,0.01,9.6,2.0,32.927429890351604
0.5,1.0,0.01,9.6,5.0,24.090222328826044
0.5,1.0,0.01,9.6,10.0,14.310202041089228
0.5,1.0,0.03,0.8,0.5,65.12129889538897
0.5,1.0,0.03,0.8,1.0,34.85691947375804
0.5,1.0,0.03,0.8,2.0,9.986674633001053
0.5,1.0,0.03,0.8,5.0,0.23486407596557177
0.5,1.0,0.03,0.8,10.0,0.00045339432689903684
0.5,1.0,0.03,3.0,0.5,102.98517038413948
0.5,1.0,0.03,3.0,1.0,87.17506466492014
0.5,1.0,0.03,3.0,2.0,62.463663333710066
0.5,1.0,0.03,3.0,5.0,22.97909756072637
0.5,1.0,0.03,3.0,10.0,4.340190904445339
0.5,1.0,0.03,9.6,0.5,115.48819700928951
0.5,1.0,0.03,9.6,1.0,109.6271432246281
0.5,1.0,0.03,9.6,2.0,98.78228967105483
0.5,1.0,0.03,9.6,5.0,72.27066698647813
0.5,1.0,0.03,9.6,10.0,42.93060612326768
0.5,1.0,0.1,0.8,0.5,217.07099631796325
0.5,1.0,0.1,0.8,1.0,116.18973157919349
0.5,1.0,0.1,0.8,2.0,33.28891544333685
0.5,1.0,0.1,0.8,5.0,0.7828802532185727
0.5,1.0,0.1,0.8,10.0,0.0015113144229967899
0.5,1.0,0.1,3.0,0.5,343.283901280465
0.5,1.0,0.1,3.0,1.0,290.5835488830672
0.5,1.0,0.1,3.0,2.0,208.2122111123669
0.5,1.0,0.1,3.0,5.0,76.5969918690879
0.5,1.0,0.1,3.0,10.0,14.4673030148178
0.5,1.0,0.1,9.6,0.5,384.9606566976317
0.5,1.0,0.1,9.6,1.0,365.42381074876033
0.5,1.0,0.1,9.6,2.0,329.27429890351607
0.5,1.0,0.1,9.6,5.0,240.90222328826042
0.5,1.0,0.1,9.6,10.0,143.1020204108923
0.5,10.0,0.01,0.8,0.5,2.9877270548548056
0.5,10.0,0.01,0.8,1.0,1.5992150514064183
0.5,10.0,0.01,0.8,2.0,0.4581827834389544
0.5,10.0,0.01,0.8,5.0,0.01077542625651619
0.5,10.0,0.01,0.8,10.0,2.0801466186508338e-05
0.5,10.0,0.01,3.0,0.5,4.72489930367946
0.5,10.0,0.01,3.0,1.0,3.99954091251305
0.5,10.0,0.01,3.0,2.0,2.8657962917364648
0.5,10.0,0.01,3.0,5.0,1.0542675383152023
0.5,10.0,0.01,3.0,10.0,0.19912541685135618
0.5,10.0,0.01,9.6,0.5,5.298530842809828
0.5,10.0,0.01,9.6,1.0,5.029629127711637
0.5,10.0,0.01,9.6,2.0,4.532073597991646
0.5,10.0,0.01,9.6,5.0,3.315735875827128
0.5,10.0,0.01,9.6,10.0,1.9696310665093975
0.5,10.0,0.03,0.8,0.5,8.963181164564416
0.5,10.0,0.03,0.8,1.0,4.797645154219255
0.5,10.0,0.03,0.8,2.0,1.3745483503168632
0.5,10.0,0.03,0.8,5.0,0.032326278769548564
0.5,10.0,0.03,0.8,10.0,6.240439855952499e-05
0.5,10.0,0.03,3.0,0.5,14.174697911038379
0.5,10.0,0.03,3.0,1.0,11.998622737539149
0.5,10.0,0.03,3.0,2.0,8.597388875209393
0.5,10.0,0.03,3.0,5.0,3.162802614945607
0.5,10.0,0.03,3.0,10.0,0.5973762505540684
0.5,10.0,0.03,9.6,0.5,15.895592528429484
0.5,10.0,0.03,9.6,1.0,15.088887383134908
0.5,10.0,0.03,9.6,2.0,13.596220793974938
0.5,10.0,0.03,9.6,5.0,9.947207627481381
0.5,10.0,0.03,9.6,10.0,5.908893199528192
0.5,10.0,0.1,0.8,0.5,29.877270548548054
0.5,10.0,0.1,0.8,1.0,15.992150514064186
0.5,10.0,0.1,0.8,2.0,4.581827834389545
0.5,10.0,0.1,0.8,5.0,0.10775426256516189
0.5,10.0,0.1,0.8,10.0,0.00020801466186508337
0.5,10.0,0.1,3.0,0.5,47.2489930367946
0.5,10.0,0.1,3.0,1.0,39.9954091251305
0.5,10.0,0.1,3.0,2.0,28.65796291736465
0.5,10.0,0.1,3.0,5.0,10.542675383152023
0.5,10.0,0.1,3.0,10.0,1.9912541685135614
0.5,10.0,0.1,9.6,0.5,52.98530842809828
0.5,10.0,0.1,9.6,1.0,50.296291277116374
0.5,10.0,0.1,9.6,2.0,45.320735979916456
0.5,10.0,0.1,9.6,5.0,33.15735875827127
0.5,10.0,0.1,9.6,10.0,19.696310665093975
0.5,100.0,0.01,0.8,0.5,0.3104577912882222
0.5,100.0,0.01,0.8,1.0,0.16617608085978428
0.5,100.0,0.01,0.8,2.0,0.047610244289755035
0.5,100.0,0.01,0.8,5.0,0.0011196856253489677
0.5,100.0,0.01,0.8,10.0,2.1615017467296233e-06
0.5,100.0,0.01,3.0,0.5,0.4909691464272227
0.5,100.0,0.01,3.0,1.0,0.41559640993578795
0.5,100.0,0.01,3.0,2.0,0.2977878402810519
0.5,100.0,0.01,3.0,5.0,0.10955002427024409
0.5,100.0,0.01,3.0,10.0,0.020691326874911885
0.5,100.0,0.01,9.6,0.5,0.5505757896653656
0.5,100.0,0.01,9.6,1.0,0.5226339358714097
0.5,100.0,0.01,9.6,2.0,0.4709324290188647
0.5,100.0,0.01,9.6,5.0,0.34454152524800646
0.5,100.0,0.01,9.6,10.0,0.20466638997948539
0.5,100.0,0.03,0.8,0.5,0.9313733738646663
0.5,100.0,0.03,0.8,1.0,0.49852824257935285
0.5,100.0,0.03,0.8,2.0,0.14283073286926506
0.5,100.0,0.03,0.8,5.0,0.003359056876046903
0.5,100.0,0.03,0.8,10.0,6.48450524018887e-06
0.5,100.0,0.03,3.0,0.5,1.4729074392816681
0.5,100.0,0.03,3.0,1.0,1.2467892298073637
