"concentration_pM","time_s","alpha","N_bound","deltaIds_A","deltaIds_pA"
"0.5","6000","0.01","3.79018610825614","7.59068452644923E-12","7.59068452644923"
"1","6000","0.01","7.49442537861001","1.50092415335819E-11","15.0092415335819"
"10","6000","0.01","61.5880953961593","1.23343759220362E-10","123.343759220362"
"100","6000","0.01","178.29071871131","3.57066529472909E-10","357.066529472909"
"1000","6000","0.01","197.61024679907","3.95758150075554E-10","395.758150075553"
"0.5","6000","0.03","3.79018610825614","2.27720535793477E-11","22.7720535793477"
"1","6000","0.03","7.49442537861001","4.50277246007458E-11","45.0277246007458"
"10","6000","0.03","61.5880953961593","3.70031277661085E-10","370.031277661085"
"100","6000","0.03","178.29071871131","1.07119958841873E-09","1071.19958841873"
"1000","6000","0.03","197.61024679907","1.18727445022666E-09","1187.27445022666"
