"time_s","concentration_pM","alpha","N_bound","deltaIds_A","deltaIds_pA"
"0","10","0.01","0","0","0"
"100","10","0.01","1.68382472000172","3.37223077767294E-12","3.37223077767294"
"500","10","0.01","8.11608554299272","1.62542532706602E-11","16.2542532706602"
"1000","10","0.01","15.5151085243821","3.1072430439674E-11","31.072430439674"
"2000","10","0.01","28.4097816834267","5.68968604877843E-11","56.8968604877843"
"4000","10","0.01","48.0333932180818","9.61974753321809E-11","96.1974753321809"
"6000","10","0.01","61.5880953961593","1.23343759220362E-10","123.343759220362"
"0","10","0.03","0","0","0"
"100","10","0.03","1.68382472000172","1.01166923330188E-11","10.1166923330188"
"500","10","0.03","8.11608554299272","4.87627598119805E-11","48.7627598119805"
"1000","10","0.03","15.5151085243821","9.32172913190221E-11","93.2172913190221"
"2000","10","0.03","28.4097816834267","1.70690581463353E-10","170.690581463353"
"4000","10","0.03","48.0333932180818","2.88592425996543E-10","288.592425996543"
"6000","10","0.03","61.5880953961593","3.70031277661085E-10","370.031277661085"
