"time_s","r","v_in_m_s","c0_pM","cortex_avg_pM","cortex_avg_mol_m3","source"
"0","0.1","1E-07","10","0","0","M2B prescribed-velocity convection-diffusion postprocessing"
"100","0.1","1E-07","10","0.776368307964818","7.76368307964818E-10","M2B prescribed-velocity convection-diffusion postprocessing"
"500","0.1","1E-07","10","3.32410089685036","3.32410089685036E-09","M2B prescribed-velocity convection-diffusion postprocessing"
"1000","0.1","1E-07","10","5.54323711645658","5.54323711645658E-09","M2B prescribed-velocity convection-diffusion postprocessing"
"2000","0.1","1E-07","10","8.01372645998698","8.01372645998698E-09","M2B prescribed-velocity convection-diffusion postprocessing"
"4000","0.1","1E-07","10","9.60547174242441","9.60547174242441E-09","M2B prescribed-velocity convection-diffusion postprocessing"
"6000","0.1","1E-07","10","9.92163589611902","9.92163589611902E-09","M2B prescribed-velocity convection-diffusion postprocessing"
"0","0.25","1E-07","10","0","0","M2B prescribed-velocity convection-diffusion postprocessing"
"100","0.25","1E-07","10","0.776368307964818","7.76368307964818E-10","M2B prescribed-velocity convection-diffusion postprocessing"
"500","0.25","1E-07","10","3.32410089685036","3.32410089685036E-09","M2B prescribed-velocity convection-diffusion postprocessing"
"1000","0.25","1E-07","10","5.54323711645658","5.54323711645658E-09","M2B prescribed-velocity convection-diffusion postprocessing"
"2000","0.25","1E-07","10","8.01372645998698","8.01372645998698E-09","M2B prescribed-velocity convection-diffusion postprocessing"
"4000","0.25","1E-07","10","9.60547174242441","9.60547174242441E-09","M2B prescribed-velocity convection-diffusion postprocessing"
"6000","0.25","1E-07","10","9.92163589611902","9.92163589611902E-09","M2B prescribed-velocity convection-diffusion postprocessing"
"0","0.5","1E-07","10","0","0","M2B prescribed-velocity convection-diffusion postprocessing"
"100","0.5","1E-07","10","0.776368307964818","7.76368307964818E-10","M2B prescribed-velocity convection-diffusion postprocessing"
"500","0.5","1E-07","10","3.32410089685036","3.32410089685036E-09","M2B prescribed-velocity convection-diffusion postprocessing"
"1000","0.5","1E-07","10","5.54323711645658","5.54323711645658E-09","M2B prescribed-velocity convection-diffusion postprocessing"
"2000","0.5","1E-07","10","8.01372645998698","8.01372645998698E-09","M2B prescribed-velocity convection-diffusion postprocessing"
"4000","0.5","1E-07","10","9.60547174242441","9.60547174242441E-09","M2B prescribed-velocity convection-diffusion postprocessing"
"6000","0.5","1E-07","10","9.92163589611902","9.92163589611902E-09","M2B prescribed-velocity convection-diffusion postprocessing"
"0","0.75","1E-07","10","0","0","M2B prescribed-velocity convection-diffusion postprocessing"
"100","0.75","1E-07","10","0.776368307964818","7.76368307964818E-10","M2B prescribed-velocity convection-diffusion postprocessing"
"500","0.75","1E-07","10","3.32410089685036","3.32410089685036E-09","M2B prescribed-velocity convection-diffusion postprocessing"
"1000","0.75","1E-07","10","5.54323711645658","5.54323711645658E-09","M2B prescribed-velocity convection-diffusion postprocessing"
"2000","0.75","1E-07","10","8.01372645998698","8.01372645998698E-09","M2B prescribed-velocity convection-diffusion postprocessing"
"4000","0.75","1E-07","10","9.60547174242441","9.60547174242441E-09","M2B prescribed-velocity convection-diffusion postprocessing"
"6000","0.75","1E-07","10","9.92163589611902","9.92163589611902E-09","M2B prescribed-velocity convection-diffusion postprocessing"
"0","1","1E-07","10","0","0","M2B prescribed-velocity convection-diffusion postprocessing"
"100","1","1E-07","10","0.776368307964818","7.76368307964818E-10","M2B prescribed-velocity convection-diffusion postprocessing"
"500","1","1E-07","10","3.32410089685036","3.32410089685036E-09","M2B prescribed-velocity convection-diffusion postprocessing"
"1000","1","1E-07","10","5.54323711645658","5.54323711645658E-09","M2B prescribed-velocity convection-diffusion postprocessing"
"2000","1","1E-07","10","8.01372645998698","8.01372645998698E-09","M2B prescribed-velocity convection-diffusion postprocessing"
"4000","1","1E-07","10","9.60547174242441","9.60547174242441E-09","M2B prescribed-velocity convection-diffusion postprocessing"
"6000","1","1E-07","10","9.92163589611902","9.92163589611902E-09","M2B prescribed-velocity convection-diffusion postprocessing"
"0","0.1","5E-07","10","0","0","M2B prescribed-velocity convection-diffusion postprocessing"
"100","0.1","5E-07","10","1.42596080839559","1.42596080839559E-09","M2B prescribed-velocity convection-diffusion postprocessing"
"500","0.1","5E-07","10","5.36630630768825","5.36630630768825E-09","M2B prescribed-velocity convection-diffusion postprocessing"
"1000","0.1","5E-07","10","7.85288827658303","7.85288827658303E-09","M2B prescribed-velocity convection-diffusion postprocessing"
"2000","0.1","5E-07","10","9.53899112471654","9.53899112471654E-09","M2B prescribed-velocity convection-diffusion postprocessing"
"4000","0.1","5E-07","10","9.97874708169099","9.97874708169099E-09","M2B prescribed-velocity convection-diffusion postprocessing"
"6000","0.1","5E-07","10","9.99902022160339","9.99902022160339E-09","M2B prescribed-velocity convection-diffusion postprocessing"
"0","0.25","5E-07","10","0","0","M2B prescribed-velocity convection-diffusion postprocessing"
"100","0.25","5E-07","10","1.42596080839559","1.42596080839559E-09","M2B prescribed-velocity convection-diffusion postprocessing"
"500","0.25","5E-07","10","5.36630630768825","5.36630630768825E-09","M2B prescribed-velocity convection-diffusion postprocessing"
"1000","0.25","5E-07","10","7.85288827658303","7.85288827658303E-09","M2B prescribed-velocity convection-diffusion postprocessing"
"2000","0.25","5E-07","10","9.53899112471654","9.53899112471654E-09","M2B prescribed-velocity convection-diffusion postprocessing"
"4000","0.25","5E-07","10","9.97874708169099","9.97874708169099E-09","M2B prescribed-velocity convection-diffusion postprocessing"
"6000","0.25","5E-07","10","9.99902022160339","9.99902022160339E-09","M2B prescribed-velocity convection-diffusion postprocessing"
"0","0.5","5E-07","10","0","0","M2B prescribed-velocity convection-diffusion postprocessing"
"100","0.5","5E-07","10","1.42596080839559","1.42596080839559E-09","M2B prescribed-velocity convection-diffusion postprocessing"
"500","0.5","5E-07","10","5.36630630768825","5.36630630768825E-09","M2B prescribed-velocity convection-diffusion postprocessing"
