"time_s","r","v_in_m_s","c0_pM","medulla_avg_pM","medulla_avg_mol_m3","source"
"0","0.1","0","10","0","0","M2B prescribed-velocity convection-diffusion postprocessing"
"100","0.1","0","10","0.027972009707935","2.7972009707935E-11","M2B prescribed-velocity convection-diffusion postprocessing"
"500","0.1","0","10","0.13907980077654","1.3907980077654E-10","M2B prescribed-velocity convection-diffusion postprocessing"
"1000","0.1","0","10","0.276225282454676","2.76225282454676E-10","M2B prescribed-velocity convection-diffusion postprocessing"
"2000","0.1","0","10","0.544820524242635","5.44820524242635E-10","M2B prescribed-velocity convection-diffusion postprocessing"
"4000","0.1","0","10","1.05995810812167","1.05995810812167E-09","M2B prescribed-velocity convection-diffusion postprocessing"
"6000","0.1","0","10","1.5470299391501","1.5470299391501E-09","M2B prescribed-velocity convection-diffusion postprocessing"
"0","0.25","0","10","0","0","M2B prescribed-velocity convection-diffusion postprocessing"
"100","0.25","0","10","0.0677963496049139","6.77963496049139E-11","M2B prescribed-velocity convection-diffusion postprocessing"
"500","0.25","0","10","0.334416459057498","3.34416459057498E-10","M2B prescribed-velocity convection-diffusion postprocessing"
"1000","0.25","0","10","0.657649481306141","6.57649481306141E-10","M2B prescribed-velocity convection-diffusion postprocessing"
"2000","0.25","0","10","1.27204867858606","1.27204867858606E-09","M2B prescribed-velocity convection-diffusion postprocessing"
"4000","0.25","0","10","2.38228657310286","2.38228657310286E-09","M2B prescribed-velocity convection-diffusion postprocessing"
"6000","0.25","0","10","3.35129680295604","3.35129680295604E-09","M2B prescribed-velocity convection-diffusion postprocessing"
"0","0.5","0","10","0","0","M2B prescribed-velocity convection-diffusion postprocessing"
"100","0.5","0","10","0.129030456219892","1.29030456219892E-10","M2B prescribed-velocity convection-diffusion postprocessing"
"500","0.5","0","10","0.62871686110369","6.2871686110369E-10","M2B prescribed-velocity convection-diffusion postprocessing"
"1000","0.5","0","10","1.21790523306377","1.21790523306377E-09","M2B prescribed-velocity convection-diffusion postprocessing"
"2000","0.5","0","10","2.28748115045513","2.28748115045513E-09","M2B prescribed-velocity convection-diffusion postprocessing"
"4000","0.5","0","10","4.05170529954151","4.05170529954151E-09","M2B prescribed-velocity convection-diffusion postprocessing"
"6000","0.5","0","10","5.41236650000661","5.41236650000661E-09","M2B prescribed-velocity convection-diffusion postprocessing"
"0","0.75","0","10","0","0","M2B prescribed-velocity convection-diffusion postprocessing"
"100","0.75","0","10","0.184610092431224","1.84610092431224E-10","M2B prescribed-velocity convection-diffusion postprocessing"
"500","0.75","0","10","0.889592957392872","8.89592957392872E-10","M2B prescribed-velocity convection-diffusion postprocessing"
"1000","0.75","0","10","1.70004835180144","1.70004835180144E-09","M2B prescribed-velocity convection-diffusion postprocessing"
"2000","0.75","0","10","3.11108026375661","3.11108026375661E-09","M2B prescribed-velocity convection-diffusion postprocessing"
"4000","0.75","0","10","5.25427848675963","5.25427848675963E-09","M2B prescribed-velocity convection-diffusion postprocessing"
"6000","0.75","0","10","6.73071054047235","6.73071054047235E-09","M2B prescribed-velocity convection-diffusion postprocessing"
"0","1","0","10","0","0","M2B prescribed-velocity convection-diffusion postprocessing"
"100","1","0","10","0.235283133477567","2.35283133477567E-10","M2B prescribed-velocity convection-diffusion postprocessing"
"500","1","0","10","1.12234474793422","1.12234474793422E-09","M2B prescribed-velocity convection-diffusion postprocessing"
"1000","1","0","10","2.11872372254689","2.11872372254689E-09","M2B prescribed-velocity convection-diffusion postprocessing"
"2000","1","0","10","3.78854842384548","3.78854842384548E-09","M2B prescribed-velocity convection-diffusion postprocessing"
"4000","1","0","10","6.14178693170876","6.14178693170876E-09","M2B prescribed-velocity convection-diffusion postprocessing"
"6000","1","0","10","7.60348963558224","7.60348963558224E-09","M2B prescribed-velocity convection-diffusion postprocessing"
"0","0.1","1E-07","10","0","0","M2B prescribed-velocity convection-diffusion postprocessing"
"100","0.1","1E-07","10","0.184241121668463","1.84241121668463E-10","M2B prescribed-velocity convection-diffusion postprocessing"
"500","0.1","1E-07","10","0.887880480048945","8.87880480048945E-10","M2B prescribed-velocity convection-diffusion postprocessing"
"1000","0.1","1E-07","10","1.69692778541269","1.69692778541269E-09","M2B prescribed-velocity convection-diffusion postprocessing"
"2000","0.1","1E-07","10","3.10589917993483","3.10589917993483E-09","M2B prescribed-velocity convection-diffusion postprocessing"
"4000","0.1","1E-07","10","5.24713738827767","5.24713738827767E-09","M2B prescribed-velocity convection-diffusion postprocessing"
"6000","0.1","1E-07","10","6.7233285970868","6.7233285970868E-09","M2B prescribed-velocity convection-diffusion postprocessing"
"0","0.25","1E-07","10","0","0","M2B prescribed-velocity convection-diffusion postprocessing"
"100","0.25","1E-07","10","0.195020003976017","1.95020003976017E-10","M2B prescribed-velocity convection-diffusion postprocessing"
"500","0.25","1E-07","10","0.937801729387455","9.37801729387455E-10","M2B prescribed-velocity convection-diffusion postprocessing"
"1000","0.25","1E-07","10","1.7876562504107","1.7876562504107E-09","M2B prescribed-velocity convection-diffusion postprocessing"
"2000","0.25","1E-07","10","3.25574101385816","3.25574101385816E-09","M2B prescribed-velocity convection-diffusion postprocessing"
"4000","0.25","1E-07","10","5.4514970727845","5.4514970727845E-09","M2B prescribed-velocity convection-diffusion postprocessing"
"6000","0.25","1E-07","10","6.93237182596344","6.93237182596344E-09","M2B prescribed-velocity convection-diffusion postprocessing"
"0","0.5","1E-07","10","0","0","M2B prescribed-velocity convection-diffusion postprocessing"
"100","0.5","1E-07","10","0.207138428829452","2.07138428829452E-10","M2B prescribed-velocity convection-diffusion postprocessing"
"500","0.5","1E-07","10","0.993665403768658","9.93665403768658E-10","M2B prescribed-velocity convection-diffusion postprocessing"
"1000","0.5","1E-07","10","1.88859371407264","1.88859371407264E-09","M2B prescribed-velocity convection-diffusion postprocessing"
"2000","0.5","1E-07","10","3.42050880646181","3.42050880646181E-09","M2B prescribed-velocity convection-diffusion postprocessing"
"4000","0.5","1E-07","10","5.67102956341535","5.67102956341535E-09","M2B prescribed-velocity convection-diffusion postprocessing"
"6000","0.5","1E-07","10","7.15175771354041","7.15175771354041E-09","M2B prescribed-velocity convection-diffusion postprocessing"
"0","0.75","1E-07","10","0","0","M2B prescribed-velocity convection-diffusion postprocessing"
"100","0.75","1E-07","10","0.215160360706764","2.15160360706764E-10","M2B prescribed-velocity convection-diffusion postprocessing"
"500","0.75","1E-07","10","1.03049321612394","1.03049321612394E-09","M2B prescribed-velocity convection-diffusion postprocessing"
"1000","0.75","1E-07","10","1.95479480540014","1.95479480540014E-09","M2B prescribed-velocity convection-diffusion postprocessing"
"2000","0.75","1E-07","10","3.52746733767834","3.52746733767835E-09","M2B prescribed-velocity convection-diffusion postprocessing"
"4000","0.75","1E-07","10","5.81063209351793","5.81063209351793E-09","M2B prescribed-velocity convection-diffusion postprocessing"
"6000","0.75","1E-07","10","7.28841793908127","7.28841793908127E-09","M2B prescribed-velocity convection-diffusion postprocessing"
"0","1","1E-07","10","0","0","M2B prescribed-velocity convection-diffusion postprocessing"
"100","1","1E-07","10","0.220862635996654","2.20862635996654E-10","M2B prescribed-velocity convection-diffusion postprocessing"
"500","1","1E-07","10","1.05659840562042","1.05659840562042E-09","M2B prescribed-velocity convection-diffusion postprocessing"
"1000","1","1E-07","10","2.00155679216488","2.00155679216488E-09","M2B prescribed-velocity convection-diffusion postprocessing"
"2000","1","1E-07","10","3.60249062510362","3.60249062510362E-09","M2B prescribed-velocity convection-diffusion postprocessing"
"4000","1","1E-07","10","5.9071873798113","5.9071873798113E-09","M2B prescribed-velocity convection-diffusion postprocessing"
"6000","1","1E-07","10","7.38161928926486","7.38161928926486E-09","M2B prescribed-velocity convection-diffusion postprocessing"
"0","0.1","5E-07","10","0","0","M2B prescribed-velocity convection-diffusion postprocessing"
"100","0.1","5E-07","10","0.317433228560895","3.17433228560895E-10","M2B prescribed-velocity convection-diffusion postprocessing"
"500","0.1","5E-07","10","1.48955042330774","1.48955042330774E-09","M2B prescribed-velocity convection-diffusion postprocessing"
"1000","0.1","5E-07","10","2.75722480025786","2.75722480025786E-09","M2B prescribed-velocity convection-diffusion postprocessing"
"2000","0.1","5E-07","10","4.75422074060002","4.75422074060002E-09","M2B prescribed-velocity convection-diffusion postprocessing"
"4000","0.1","5E-07","10","7.2481799961649","7.2481799961649E-09","M2B prescribed-velocity convection-diffusion postprocessing"
"6000","0.1","5E-07","10","8.55645596982798","8.55645596982798E-09","M2B prescribed-velocity convection-diffusion postprocessing"
"0","0.25","5E-07","10","0","0","M2B prescribed-velocity convection-diffusion postprocessing"
"100","0.25","5E-07","10","0.3508405562763","3.508405562763E-10","M2B prescribed-velocity convection-diffusion postprocessing"
"500","0.25","5E-07","10","1.63535692707017","1.63535692707017E-09","M2B prescribed-velocity convection-diffusion postprocessing"
"1000","0.25","5E-07","10","3.0032746262487","3.0032746262487E-09","M2B prescribed-velocity convection-diffusion postprocessing"
"2000","0.25","5E-07","10","5.10458340443047","5.10458340443047E-09","M2B prescribed-velocity convection-diffusion postprocessing"
"4000","0.25","5E-07","10","7.60348963558224","7.60348963558224E-09","M2B prescribed-velocity convection-diffusion postprocessing"
"6000","0.25","5E-07","10","8.82680833905749","8.82680833905749E-09","M2B prescribed-velocity convection-diffusion postprocessing"
"0","0.5","5E-07","10","0","0","M2B prescribed-velocity convection-diffusion postprocessing"
"100","0.5","5E-07","10","0.392105608476768","3.92105608476768E-10","M2B prescribed-velocity convection-diffusion postprocessing"
"500","0.5","5E-07","10","1.81269246922018","1.81269246922018E-09","M2B prescribed-velocity convection-diffusion postprocessing"
"1000","0.5","5E-07","10","3.29679953964361","3.29679953964361E-09","M2B prescribed-velocity convection-diffusion postprocessing"
"2000","0.5","5E-07","10","5.50671035882778","5.50671035882778E-09","M2B prescribed-velocity convection-diffusion postprocessing"
"4000","0.5","5E-07","10","7.98103482005345","7.98103482005345E-09","M2B prescribed-velocity convection-diffusion postprocessing"
"6000","0.5","5E-07","10","9.09282046710588","9.09282046710588E-09","M2B prescribed-velocity convection-diffusion postprocessing"
"0","0.75","5E-07","10","0","0","M2B prescribed-velocity convection-diffusion postprocessing"
"100","0.75","5E-07","10","0.421876990893109","4.21876990893109E-10","M2B prescribed-velocity convection-diffusion postprocessing"
"500","0.75","5E-07","10","1.93875628557759","1.93875628557759E-09","M2B prescribed-velocity convection-diffusion postprocessing"
"1000","0.75","5E-07","10","3.50163497766852","3.50163497766852E-09","M2B prescribed-velocity convection-diffusion postprocessing"
"2000","0.75","5E-07","10","5.77712520365388","5.77712520365388E-09","M2B prescribed-velocity convection-diffusion postprocessing"
"4000","0.75","5E-07","10","8.21673284543847","8.21673284543847E-09","M2B prescribed-velocity convection-diffusion postprocessing"
"6000","0.75","5E-07","10","9.24694860778502","9.24694860778502E-09","M2B prescribed-velocity convection-diffusion postprocessing"
"0","1","5E-07","10","0","0","M2B prescribed-velocity convection-diffusion postprocessing"
"100","1","5E-07","10","0.444369637317158","4.44369637317158E-10","M2B prescribed-velocity convection-diffusion postprocessing"
"500","1","5E-07","10","2.03296530106538","2.03296530106538E-09","M2B prescribed-velocity convection-diffusion postprocessing"
"1000","1","5E-07","10","3.65263581059718","3.65263581059718E-09","M2B prescribed-velocity convection-diffusion postprocessing"
"2000","1","5E-07","10","5.97109678470867","5.97109678470867E-09","M2B prescribed-velocity convection-diffusion postprocessing"
"4000","1","5E-07","10","8.37679388818152","8.37679388818152E-09","M2B prescribed-velocity convection-diffusion postprocessing"
"6000","1","5E-07","10","9.3460259677014","9.3460259677014E-09","M2B prescribed-velocity convection-diffusion postprocessing"
"0","0.1","1E-06","10","0","0","M2B prescribed-velocity convection-diffusion postprocessing"
"100","0.1","1E-06","10","0.37833593984047","3.7833593984047E-10","M2B prescribed-velocity convection-diffusion postprocessing"
"500","0.1","1E-06","10","1.75385537655688","1.75385537655688E-09","M2B prescribed-velocity convection-diffusion postprocessing"
"1000","0.1","1E-06","10","3.20010988492602","3.20010988492602E-09","M2B prescribed-velocity convection-diffusion postprocessing"
"2000","0.1","1E-06","10","5.37614944229191","5.37614944229191E-09","M2B prescribed-velocity convection-diffusion postprocessing"
"4000","0.1","1E-06","10","7.86200060199826","7.86200060199826E-09","M2B prescribed-velocity convection-diffusion postprocessing"
