"time_s","r","v_in_m_s","sensor_surface_c_avg_pM","sensor_surface_c_avg_mol_m3","sensor_area_m2","flux_integral_sensor_mol_s","source"
"0","0.1","0","0","0","2.82743338823081E-09","0","M2B sensor exposure flux proxy"
"100","0.1","0","0.0257342489313002","2.57342489313002E-11","2.82743338823081E-09","0","M2B sensor exposure flux proxy"
"500","0.1","0","0.127953416714417","1.27953416714417E-10","2.82743338823081E-09","0","M2B sensor exposure flux proxy"
"1000","0.1","0","0.254127259858302","2.54127259858302E-10","2.82743338823081E-09","0","M2B sensor exposure flux proxy"
"2000","0.1","0","0.501234882303224","5.01234882303224E-10","2.82743338823081E-09","0","M2B sensor exposure flux proxy"
"4000","0.1","0","0.975161459471936","9.75161459471936E-10","2.82743338823081E-09","0","M2B sensor exposure flux proxy"
"6000","0.1","0","1.42326754401809","1.42326754401809E-09","2.82743338823081E-09","0","M2B sensor exposure flux proxy"
"0","0.25","0","0","0","2.82743338823081E-09","0","M2B sensor exposure flux proxy"
"100","0.25","0","0.0623726416365208","6.23726416365208E-11","2.82743338823081E-09","0","M2B sensor exposure flux proxy"
"500","0.25","0","0.307663142332898","3.07663142332898E-10","2.82743338823081E-09","0","M2B sensor exposure flux proxy"
"1000","0.25","0","0.605037522801649","6.05037522801649E-10","2.82743338823081E-09","0","M2B sensor exposure flux proxy"
"2000","0.25","0","1.17028478429917","1.17028478429917E-09","2.82743338823081E-09","0","M2B sensor exposure flux proxy"
"4000","0.25","0","2.19170364725463","2.19170364725463E-09","2.82743338823081E-09","0","M2B sensor exposure flux proxy"
"6000","0.25","0","3.08319305871956","3.08319305871956E-09","2.82743338823081E-09","0","M2B sensor exposure flux proxy"
"0","0.5","0","0","0","2.82743338823081E-09","0","M2B sensor exposure flux proxy"
"100","0.5","0","0.1187080197223","1.187080197223E-10","2.82743338823081E-09","0","M2B sensor exposure flux proxy"
"500","0.5","0","0.578419512215395","5.78419512215395E-10","2.82743338823081E-09","0","M2B sensor exposure flux proxy"
"1000","0.5","0","1.12047281441867","1.12047281441867E-09","2.82743338823081E-09","0","M2B sensor exposure flux proxy"
"2000","0.5","0","2.10448265841872","2.10448265841872E-09","2.82743338823081E-09","0","M2B sensor exposure flux proxy"
"4000","0.5","0","3.72756887557819","3.72756887557819E-09","2.82743338823081E-09","0","M2B sensor exposure flux proxy"
"6000","0.5","0","4.97937718000608","4.97937718000608E-09","2.82743338823081E-09","0","M2B sensor exposure flux proxy"
"0","0.75","0","0","0","2.82743338823081E-09","0","M2B sensor exposure flux proxy"
"100","0.75","0","0.169841285036726","1.69841285036726E-10","2.82743338823081E-09","0","M2B sensor exposure flux proxy"
"500","0.75","0","0.818425520801442","8.18425520801442E-10","2.82743338823081E-09","0","M2B sensor exposure flux proxy"
"1000","0.75","0","1.56404448365733","1.56404448365733E-09","2.82743338823081E-09","0","M2B sensor exposure flux proxy"
"2000","0.75","0","2.86219384265608","2.86219384265608E-09","2.82743338823081E-09","0","M2B sensor exposure flux proxy"
"4000","0.75","0","4.83393620781886","4.83393620781886E-09","2.82743338823081E-09","0","M2B sensor exposure flux proxy"
"6000","0.75","0","6.19225369723456","6.19225369723456E-09","2.82743338823081E-09","0","M2B sensor exposure flux proxy"
"0","1","0","0","0","2.82743338823081E-09","0","M2B sensor exposure flux proxy"
"100","1","0","0.216460482799362","2.16460482799362E-10","2.82743338823081E-09","0","M2B sensor exposure flux proxy"
"500","1","0","1.03255716809948","1.03255716809948E-09","2.82743338823081E-09","0","M2B sensor exposure flux proxy"
"1000","1","0","1.94922582474314","1.94922582474314E-09","2.82743338823081E-09","0","M2B sensor exposure flux proxy"
