"time_s","r","v_in_m_s","concentration_pM","sensor_surface_c_avg_pM","sensor_surface_c_avg_mol_m3","source"
"0","0.5","0","0.5","0","0","M2B sensor surface concentration under prescribed velocity"
"100","0.5","0","0.5","0.00593540098611503","5.93540098611503E-12","M2B sensor surface concentration under prescribed velocity"
"500","0.5","0","0.5","0.0289209756107697","2.89209756107697E-11","M2B sensor surface concentration under prescribed velocity"
"1000","0.5","0","0.5","0.0560236407209336","5.60236407209336E-11","M2B sensor surface concentration under prescribed velocity"
"2000","0.5","0","0.5","0.105224132920936","1.05224132920936E-10","M2B sensor surface concentration under prescribed velocity"
"4000","0.5","0","0.5","0.18637844377891","1.8637844377891E-10","M2B sensor surface concentration under prescribed velocity"
"6000","0.5","0","0.5","0.248968859000304","2.48968859000304E-10","M2B sensor surface concentration under prescribed velocity"
"0","0.5","0","1","0","0","M2B sensor surface concentration under prescribed velocity"
"100","0.5","0","1","0.0118708019722301","1.18708019722301E-11","M2B sensor surface concentration under prescribed velocity"
"500","0.5","0","1","0.0578419512215395","5.78419512215395E-11","M2B sensor surface concentration under prescribed velocity"
"1000","0.5","0","1","0.112047281441867","1.12047281441867E-10","M2B sensor surface concentration under prescribed velocity"
"2000","0.5","0","1","0.210448265841872","2.10448265841872E-10","M2B sensor surface concentration under prescribed velocity"
"4000","0.5","0","1","0.372756887557819","3.72756887557819E-10","M2B sensor surface concentration under prescribed velocity"
"6000","0.5","0","1","0.497937718000608","4.97937718000608E-10","M2B sensor surface concentration under prescribed velocity"
"0","0.5","0","10","0","0","M2B sensor surface concentration under prescribed velocity"
"100","0.5","0","10","0.1187080197223","1.187080197223E-10","M2B sensor surface concentration under prescribed velocity"
"500","0.5","0","10","0.578419512215395","5.78419512215395E-10","M2B sensor surface concentration under prescribed velocity"
"1000","0.5","0","10","1.12047281441867","1.12047281441867E-09","M2B sensor surface concentration under prescribed velocity"
"2000","0.5","0","10","2.10448265841872","2.10448265841872E-09","M2B sensor surface concentration under prescribed velocity"
"4000","0.5","0","10","3.72756887557819","3.72756887557819E-09","M2B sensor surface concentration under prescribed velocity"
"6000","0.5","0","10","4.97937718000608","4.97937718000608E-09","M2B sensor surface concentration under prescribed velocity"
"0","0.5","0","100","0","0","M2B sensor surface concentration under prescribed velocity"
"100","0.5","0","100","1.187080197223","1.18708019722301E-09","M2B sensor surface concentration under prescribed velocity"
"500","0.5","0","100","5.78419512215395","5.78419512215395E-09","M2B sensor surface concentration under prescribed velocity"
"1000","0.5","0","100","11.2047281441867","1.12047281441867E-08","M2B sensor surface concentration under prescribed velocity"
"2000","0.5","0","100","21.0448265841872","2.10448265841872E-08","M2B sensor surface concentration under prescribed velocity"
"4000","0.5","0","100","37.2756887557819","3.72756887557819E-08","M2B sensor surface concentration under prescribed velocity"
"6000","0.5","0","100","49.7937718000608","4.97937718000608E-08","M2B sensor surface concentration under prescribed velocity"
"0","0.5","0","1000","0","0","M2B sensor surface concentration under prescribed velocity"
"100","0.5","0","1000","11.87080197223","1.18708019722301E-08","M2B sensor surface concentration under prescribed velocity"
"500","0.5","0","1000","57.8419512215395","5.78419512215395E-08","M2B sensor surface concentration under prescribed velocity"
"1000","0.5","0","1000","112.047281441867","1.12047281441867E-07","M2B sensor surface concentration under prescribed velocity"
"2000","0.5","0","1000","210.448265841872","2.10448265841872E-07","M2B sensor surface concentration under prescribed velocity"
"4000","0.5","0","1000","372.756887557819","3.72756887557819E-07","M2B sensor surface concentration under prescribed velocity"
"6000","0.5","0","1000","497.937718000608","4.97937718000608E-07","M2B sensor surface concentration under prescribed velocity"
"0","0.5","1E-07","0.5","0","0","M2B sensor surface concentration under prescribed velocity"
"100","0.5","1E-07","0.5","0.0099426445838137","9.9426445838137E-12","M2B sensor surface concentration under prescribed velocity"
"500","0.5","1E-07","0.5","0.0476959393808956","4.76959393808956E-11","M2B sensor surface concentration under prescribed velocity"
"1000","0.5","1E-07","0.5","0.0906524982754868","9.06524982754868E-11","M2B sensor surface concentration under prescribed velocity"
"2000","0.5","1E-07","0.5","0.164184422710167","1.64184422710167E-10","M2B sensor surface concentration under prescribed velocity"
"4000","0.5","1E-07","0.5","0.272209419043937","2.72209419043937E-10","M2B sensor surface concentration under prescribed velocity"
"6000","0.5","1E-07","0.5","0.34328437024994","3.4328437024994E-10","M2B sensor surface concentration under prescribed velocity"
"0","0.5","1E-07","1","0","0","M2B sensor surface concentration under prescribed velocity"
"100","0.5","1E-07","1","0.0198852891676274","1.98852891676274E-11","M2B sensor surface concentration under prescribed velocity"
"500","0.5","1E-07","1","0.0953918787617911","9.53918787617911E-11","M2B sensor surface concentration under prescribed velocity"
"1000","0.5","1E-07","1","0.181304996550974","1.81304996550974E-10","M2B sensor surface concentration under prescribed velocity"
"2000","0.5","1E-07","1","0.328368845420334","3.28368845420334E-10","M2B sensor surface concentration under prescribed velocity"
"4000","0.5","1E-07","1","0.544418838087873","5.44418838087873E-10","M2B sensor surface concentration under prescribed velocity"
"6000","0.5","1E-07","1","0.686568740499879","6.8656874049988E-10","M2B sensor surface concentration under prescribed velocity"
"0","0.5","1E-07","10","0","0","M2B sensor surface concentration under prescribed velocity"
"100","0.5","1E-07","10","0.198852891676274","1.98852891676274E-10","M2B sensor surface concentration under prescribed velocity"
"500","0.5","1E-07","10","0.953918787617911","9.53918787617911E-10","M2B sensor surface concentration under prescribed velocity"
"1000","0.5","1E-07","10","1.81304996550974","1.81304996550974E-09","M2B sensor surface concentration under prescribed velocity"
"2000","0.5","1E-07","10","3.28368845420334","3.28368845420334E-09","M2B sensor surface concentration under prescribed velocity"
"4000","0.5","1E-07","10","5.44418838087873","5.44418838087873E-09","M2B sensor surface concentration under prescribed velocity"
"6000","0.5","1E-07","10","6.8656874049988","6.8656874049988E-09","M2B sensor surface concentration under prescribed velocity"
"0","0.5","1E-07","100","0","0","M2B sensor surface concentration under prescribed velocity"
"100","0.5","1E-07","100","1.98852891676274","1.98852891676274E-09","M2B sensor surface concentration under prescribed velocity"
"500","0.5","1E-07","100","9.53918787617911","9.53918787617911E-09","M2B sensor surface concentration under prescribed velocity"
"1000","0.5","1E-07","100","18.1304996550974","1.81304996550974E-08","M2B sensor surface concentration under prescribed velocity"
"2000","0.5","1E-07","100","32.8368845420334","3.28368845420334E-08","M2B sensor surface concentration under prescribed velocity"
"4000","0.5","1E-07","100","54.4418838087873","5.44418838087873E-08","M2B sensor surface concentration under prescribed velocity"
"6000","0.5","1E-07","100","68.656874049988","6.8656874049988E-08","M2B sensor surface concentration under prescribed velocity"
"0","0.5","1E-07","1000","0","0","M2B sensor surface concentration under prescribed velocity"
"100","0.5","1E-07","1000","19.8852891676274","1.98852891676274E-08","M2B sensor surface concentration under prescribed velocity"
"500","0.5","1E-07","1000","95.3918787617911","9.53918787617911E-08","M2B sensor surface concentration under prescribed velocity"
"1000","0.5","1E-07","1000","181.304996550974","1.81304996550974E-07","M2B sensor surface concentration under prescribed velocity"
"2000","0.5","1E-07","1000","328.368845420334","3.28368845420334E-07","M2B sensor surface concentration under prescribed velocity"
"4000","0.5","1E-07","1000","544.418838087873","5.44418838087873E-07","M2B sensor surface concentration under prescribed velocity"
"6000","0.5","1E-07","1000","686.56874049988","6.8656874049988E-07","M2B sensor surface concentration under prescribed velocity"
"0","0.5","5E-07","0.5","0","0","M2B sensor surface concentration under prescribed velocity"
"100","0.5","5E-07","0.5","0.0188210692068849","1.88210692068849E-11","M2B sensor surface concentration under prescribed velocity"
"500","0.5","5E-07","0.5","0.0870092385225687","8.70092385225687E-11","M2B sensor surface concentration under prescribed velocity"
"1000","0.5","5E-07","0.5","0.158246377902893","1.58246377902893E-10","M2B sensor surface concentration under prescribed velocity"
"2000","0.5","5E-07","0.5","0.264322097223734","2.64322097223734E-10","M2B sensor surface concentration under prescribed velocity"
"4000","0.5","5E-07","0.5","0.383089671362565","3.83089671362565E-10","M2B sensor surface concentration under prescribed velocity"
"6000","0.5","5E-07","0.5","0.436455382421082","4.36455382421082E-10","M2B sensor surface concentration under prescribed velocity"
"0","0.5","5E-07","1","0","0","M2B sensor surface concentration under prescribed velocity"
"100","0.5","5E-07","1","0.0376421384137697","3.76421384137698E-11","M2B sensor surface concentration under prescribed velocity"
"500","0.5","5E-07","1","0.174018477045137","1.74018477045137E-10","M2B sensor surface concentration under prescribed velocity"
"1000","0.5","5E-07","1","0.316492755805786","3.16492755805786E-10","M2B sensor surface concentration under prescribed velocity"
"2000","0.5","5E-07","1","0.528644194447467","5.28644194447467E-10","M2B sensor surface concentration under prescribed velocity"
"4000","0.5","5E-07","1","0.766179342725131","7.66179342725131E-10","M2B sensor surface concentration under prescribed velocity"
"6000","0.5","5E-07","1","0.872910764842164","8.72910764842164E-10","M2B sensor surface concentration under prescribed velocity"
"0","0.5","5E-07","10","0","0","M2B sensor surface concentration under prescribed velocity"
"100","0.5","5E-07","10","0.376421384137697","3.76421384137698E-10","M2B sensor surface concentration under prescribed velocity"
"500","0.5","5E-07","10","1.74018477045137","1.74018477045137E-09","M2B sensor surface concentration under prescribed velocity"
"1000","0.5","5E-07","10","3.16492755805786","3.16492755805786E-09","M2B sensor surface concentration under prescribed velocity"
"2000","0.5","5E-07","10","5.28644194447467","5.28644194447467E-09","M2B sensor surface concentration under prescribed velocity"
"4000","0.5","5E-07","10","7.66179342725131","7.66179342725131E-09","M2B sensor surface concentration under prescribed velocity"
"6000","0.5","5E-07","10","8.72910764842164","8.72910764842164E-09","M2B sensor surface concentration under prescribed velocity"
"0","0.5","5E-07","100","0","0","M2B sensor surface concentration under prescribed velocity"
"100","0.5","5E-07","100","3.76421384137698","3.76421384137698E-09","M2B sensor surface concentration under prescribed velocity"
"500","0.5","5E-07","100","17.4018477045137","1.74018477045137E-08","M2B sensor surface concentration under prescribed velocity"
"1000","0.5","5E-07","100","31.6492755805786","3.16492755805786E-08","M2B sensor surface concentration under prescribed velocity"
"2000","0.5","5E-07","100","52.8644194447467","5.28644194447467E-08","M2B sensor surface concentration under prescribed velocity"
"4000","0.5","5E-07","100","76.6179342725131","7.66179342725131E-08","M2B sensor surface concentration under prescribed velocity"
"6000","0.5","5E-07","100","87.2910764842164","8.72910764842164E-08","M2B sensor surface concentration under prescribed velocity"
"0","0.5","5E-07","1000","0","0","M2B sensor surface concentration under prescribed velocity"
"100","0.5","5E-07","1000","37.6421384137698","3.76421384137697E-08","M2B sensor surface concentration under prescribed velocity"
"500","0.5","5E-07","1000","174.018477045137","1.74018477045137E-07","M2B sensor surface concentration under prescribed velocity"
"1000","0.5","5E-07","1000","316.492755805786","3.16492755805786E-07","M2B sensor surface concentration under prescribed velocity"
"2000","0.5","5E-07","1000","528.644194447467","5.28644194447467E-07","M2B sensor surface concentration under prescribed velocity"
"4000","0.5","5E-07","1000","766.179342725131","7.66179342725131E-07","M2B sensor surface concentration under prescribed velocity"
"6000","0.5","5E-07","1000","872.910764842164","8.72910764842164E-07","M2B sensor surface concentration under prescribed velocity"
"0","0.5","1E-06","0.5","0","0","M2B sensor surface concentration under prescribed velocity"
"100","0.5","1E-06","0.5","0.0234919817462448","2.34919817462449E-11","M2B sensor surface concentration under prescribed velocity"
"500","0.5","1E-06","0.5","0.106511614782352","1.06511614782352E-10","M2B sensor surface concentration under prescribed velocity"
"1000","0.5","1E-06","0.5","0.189388387723987","1.89388387723987E-10","M2B sensor surface concentration under prescribed velocity"
"2000","0.5","1E-06","0.5","0.304051855854867","3.04051855854867E-10","M2B sensor surface concentration under prescribed velocity"
"4000","0.5","1E-06","0.5","0.415504688691424","4.15504688691424E-10","M2B sensor surface concentration under prescribed velocity"
"6000","0.5","1E-06","0.5","0.45635868681082","4.5635868681082E-10","M2B sensor surface concentration under prescribed velocity"
"0","0.5","1E-06","1","0","0","M2B sensor surface concentration under prescribed velocity"
"100","0.5","1E-06","1","0.0469839634924897","4.69839634924897E-11","M2B sensor surface concentration under prescribed velocity"
"500","0.5","1E-06","1","0.213023229564704","2.13023229564704E-10","M2B sensor surface concentration under prescribed velocity"
"1000","0.5","1E-06","1","0.378776775447973","3.78776775447973E-10","M2B sensor surface concentration under prescribed velocity"
"2000","0.5","1E-06","1","0.608103711709734","6.08103711709734E-10","M2B sensor surface concentration under prescribed velocity"
"4000","0.5","1E-06","1","0.831009377382848","8.31009377382848E-10","M2B sensor surface concentration under prescribed velocity"
"6000","0.5","1E-06","1","0.912717373621639","9.12717373621639E-10","M2B sensor surface concentration under prescribed velocity"
"0","0.5","1E-06","10","0","0","M2B sensor surface concentration under prescribed velocity"
"100","0.5","1E-06","10","0.469839634924897","4.69839634924897E-10","M2B sensor surface concentration under prescribed velocity"
"500","0.5","1E-06","10","2.13023229564704","2.13023229564704E-09","M2B sensor surface concentration under prescribed velocity"
"1000","0.5","1E-06","10","3.78776775447973","3.78776775447973E-09","M2B sensor surface concentration under prescribed velocity"
"2000","0.5","1E-06","10","6.08103711709734","6.08103711709734E-09","M2B sensor surface concentration under prescribed velocity"
"4000","0.5","1E-06","10","8.31009377382848","8.31009377382848E-09","M2B sensor surface concentration under prescribed velocity"
"6000","0.5","1E-06","10","9.12717373621639","9.12717373621639E-09","M2B sensor surface concentration under prescribed velocity"
"0","0.5","1E-06","100","0","0","M2B sensor surface concentration under prescribed velocity"
"100","0.5","1E-06","100","4.69839634924897","4.69839634924897E-09","M2B sensor surface concentration under prescribed velocity"
"500","0.5","1E-06","100","21.3023229564704","2.13023229564704E-08","M2B sensor surface concentration under prescribed velocity"
"1000","0.5","1E-06","100","37.8776775447973","3.78776775447973E-08","M2B sensor surface concentration under prescribed velocity"
"2000","0.5","1E-06","100","60.8103711709734","6.08103711709734E-08","M2B sensor surface concentration under prescribed velocity"
"4000","0.5","1E-06","100","83.1009377382848","8.31009377382848E-08","M2B sensor surface concentration under prescribed velocity"
"6000","0.5","1E-06","100","91.2717373621639","9.12717373621639E-08","M2B sensor surface concentration under prescribed velocity"
"0","0.5","1E-06","1000","0","0","M2B sensor surface concentration under prescribed velocity"
"100","0.5","1E-06","1000","46.9839634924897","4.69839634924897E-08","M2B sensor surface concentration under prescribed velocity"
"500","0.5","1E-06","1000","213.023229564704","2.13023229564704E-07","M2B sensor surface concentration under prescribed velocity"
"1000","0.5","1E-06","1000","378.776775447973","3.78776775447973E-07","M2B sensor surface concentration under prescribed velocity"
"2000","0.5","1E-06","1000","608.103711709734","6.08103711709734E-07","M2B sensor surface concentration under prescribed velocity"
"4000","0.5","1E-06","1000","831.009377382848","8.31009377382848E-07","M2B sensor surface concentration under prescribed velocity"
"6000","0.5","1E-06","1000","912.717373621639","9.12717373621639E-07","M2B sensor surface concentration under prescribed velocity"
