"time_s","r","cortex_avg_pM","cortex_avg_mol_m3"
"0","0.1","0","0"
"100","0.1","1.33122100249818","1.33122100249818E-09"
"500","0.1","5.10458340443047","5.10458340443047E-09"
"1000","0.1","7.60348963558224","7.60348963558224E-09"
"2000","0.1","9.42567380732383","9.42567380732383E-09"
"4000","0.1","9.96701494244061","9.96701494244061E-09"
"6000","0.1","9.99810558174767","9.99810558174767E-09"
"0","0.25","0","0"
"100","0.25","1.33122100249818","1.33122100249818E-09"
"500","0.25","5.10458340443047","5.10458340443047E-09"
"1000","0.25","7.60348963558224","7.60348963558224E-09"
"2000","0.25","9.42567380732383","9.42567380732383E-09"
"4000","0.25","9.96701494244061","9.96701494244061E-09"
"6000","0.25","9.99810558174767","9.99810558174767E-09"
"0","0.5","0","0"
"100","0.5","1.33122100249818","1.33122100249818E-09"
"500","0.5","5.10458340443047","5.10458340443047E-09"
"1000","0.5","7.60348963558224","7.60348963558224E-09"
"2000","0.5","9.42567380732383","9.42567380732383E-09"
"4000","0.5","9.96701494244061","9.96701494244061E-09"
"6000","0.5","9.99810558174767","9.99810558174767E-09"
"0","0.75","0","0"
"100","0.75","1.33122100249818","1.33122100249818E-09"
"500","0.75","5.10458340443047","5.10458340443047E-09"
"1000","0.75","7.60348963558224","7.60348963558224E-09"
"2000","0.75","9.42567380732383","9.42567380732383E-09"
"4000","0.75","9.96701494244061","9.96701494244061E-09"
"6000","0.75","9.99810558174767","9.99810558174767E-09"
"0","1","0","0"
"100","1","1.33122100249818","1.33122100249818E-09"
"500","1","5.10458340443047","5.10458340443047E-09"
"1000","1","7.60348963558224","7.60348963558224E-09"
"2000","1","9.42567380732383","9.42567380732383E-09"
"4000","1","9.96701494244061","9.96701494244061E-09"
"6000","1","9.99810558174767","9.99810558174767E-09"
