"time_s","r","medulla_avg_pM","medulla_avg_mol_m3"
"0","0.1","0","0"
"100","0.1","0.027972009707935","2.7972009707935E-11"
"500","0.1","0.13907980077654","1.3907980077654E-10"
"1000","0.1","0.276225282454676","2.76225282454676E-10"
"2000","0.1","0.544820524242635","5.44820524242635E-10"
"4000","0.1","1.05995810812167","1.05995810812167E-09"
"6000","0.1","1.5470299391501","1.5470299391501E-09"
"0","0.25","0","0"
"100","0.25","0.0677963496049139","6.77963496049139E-11"
"500","0.25","0.334416459057498","3.34416459057498E-10"
"1000","0.25","0.657649481306141","6.57649481306141E-10"
"2000","0.25","1.27204867858606","1.27204867858606E-09"
"4000","0.25","2.38228657310286","2.38228657310286E-09"
"6000","0.25","3.35129680295604","3.35129680295604E-09"
"0","0.5","0","0"
"100","0.5","0.129030456219892","1.29030456219892E-10"
"500","0.5","0.62871686110369","6.2871686110369E-10"
"1000","0.5","1.21790523306377","1.21790523306377E-09"
"2000","0.5","2.28748115045513","2.28748115045513E-09"
"4000","0.5","4.05170529954151","4.05170529954151E-09"
"6000","0.5","5.41236650000661","5.41236650000661E-09"
"0","0.75","0","0"
"100","0.75","0.184610092431224","1.84610092431224E-10"
"500","0.75","0.889592957392872","8.89592957392872E-10"
"1000","0.75","1.70004835180144","1.70004835180144E-09"
"2000","0.75","3.11108026375661","3.11108026375661E-09"
"4000","0.75","5.25427848675963","5.25427848675963E-09"
"6000","0.75","6.73071054047235","6.73071054047235E-09"
"0","1","0","0"
"100","1","0.235283133477567","2.35283133477567E-10"
"500","1","1.12234474793422","1.12234474793422E-09"
"1000","1","2.11872372254689","2.11872372254689E-09"
"2000","1","3.78854842384548","3.78854842384548E-09"
"4000","1","6.14178693170876","6.14178693170876E-09"
"6000","1","7.60348963558224","7.60348963558224E-09"
