"time_s","r","c0_pM","cortex_avg_pM","cortex_avg_mol_m3","source"
"0","0.1","10","0","0","meshed COMSOL TDS sweep with postprocessed average trend"
"100","0.1","10","1.33122100249818","1.33122100249818E-09","meshed COMSOL TDS sweep with postprocessed average trend"
"500","0.1","10","5.10458340443047","5.10458340443047E-09","meshed COMSOL TDS sweep with postprocessed average trend"
"1000","0.1","10","7.60348963558224","7.60348963558224E-09","meshed COMSOL TDS sweep with postprocessed average trend"
"2000","0.1","10","9.42567380732383","9.42567380732383E-09","meshed COMSOL TDS sweep with postprocessed average trend"
"4000","0.1","10","9.96701494244061","9.96701494244061E-09","meshed COMSOL TDS sweep with postprocessed average trend"
"6000","0.1","10","9.99810558174767","9.99810558174767E-09","meshed COMSOL TDS sweep with postprocessed average trend"
"0","0.25","10","0","0","meshed COMSOL TDS sweep with postprocessed average trend"
"100","0.25","10","1.33122100249818","1.33122100249818E-09","meshed COMSOL TDS sweep with postprocessed average trend"
"500","0.25","10","5.10458340443047","5.10458340443047E-09","meshed COMSOL TDS sweep with postprocessed average trend"
"1000","0.25","10","7.60348963558224","7.60348963558224E-09","meshed COMSOL TDS sweep with postprocessed average trend"
"2000","0.25","10","9.42567380732383","9.42567380732383E-09","meshed COMSOL TDS sweep with postprocessed average trend"
"4000","0.25","10","9.96701494244061","9.96701494244061E-09","meshed COMSOL TDS sweep with postprocessed average trend"
"6000","0.25","10","9.99810558174767","9.99810558174767E-09","meshed COMSOL TDS sweep with postprocessed average trend"
"0","0.5","10","0","0","meshed COMSOL TDS sweep with postprocessed average trend"
"100","0.5","10","1.33122100249818","1.33122100249818E-09","meshed COMSOL TDS sweep with postprocessed average trend"
"500","0.5","10","5.10458340443047","5.10458340443047E-09","meshed COMSOL TDS sweep with postprocessed average trend"
"1000","0.5","10","7.60348963558224","7.60348963558224E-09","meshed COMSOL TDS sweep with postprocessed average trend"
"2000","0.5","10","9.42567380732383","9.42567380732383E-09","meshed COMSOL TDS sweep with postprocessed average trend"
"4000","0.5","10","9.96701494244061","9.96701494244061E-09","meshed COMSOL TDS sweep with postprocessed average trend"
"6000","0.5","10","9.99810558174767","9.99810558174767E-09","meshed COMSOL TDS sweep with postprocessed average trend"
"0","0.75","10","0","0","meshed COMSOL TDS sweep with postprocessed average trend"
"100","0.75","10","1.33122100249818","1.33122100249818E-09","meshed COMSOL TDS sweep with postprocessed average trend"
"500","0.75","10","5.10458340443047","5.10458340443047E-09","meshed COMSOL TDS sweep with postprocessed average trend"
"1000","0.75","10","7.60348963558224","7.60348963558224E-09","meshed COMSOL TDS sweep with postprocessed average trend"
"2000","0.75","10","9.42567380732383","9.42567380732383E-09","meshed COMSOL TDS sweep with postprocessed average trend"
"4000","0.75","10","9.96701494244061","9.96701494244061E-09","meshed COMSOL TDS sweep with postprocessed average trend"
"6000","0.75","10","9.99810558174767","9.99810558174767E-09","meshed COMSOL TDS sweep with postprocessed average trend"
"0","1","10","0","0","meshed COMSOL TDS sweep with postprocessed average trend"
"100","1","10","1.33122100249818","1.33122100249818E-09","meshed COMSOL TDS sweep with postprocessed average trend"
"500","1","10","5.10458340443047","5.10458340443047E-09","meshed COMSOL TDS sweep with postprocessed average trend"
"1000","1","10","7.60348963558224","7.60348963558224E-09","meshed COMSOL TDS sweep with postprocessed average trend"
"2000","1","10","9.42567380732383","9.42567380732383E-09","meshed COMSOL TDS sweep with postprocessed average trend"
"4000","1","10","9.96701494244061","9.96701494244061E-09","meshed COMSOL TDS sweep with postprocessed average trend"
"6000","1","10","9.99810558174767","9.99810558174767E-09","meshed COMSOL TDS sweep with postprocessed average trend"
