"time_s","r","c0_pM","sensor_flux_proxy_pM_per_s","source"
"0","0.1","10","0.000280112044817927","COMSOL-stage transport postprocessing"
"100","0.1","10","0.000279391197508927","COMSOL-stage transport postprocessing"
"500","0.1","10","0.000276527915498196","COMSOL-stage transport postprocessing"
"1000","0.1","10","0.000272993634177639","COMSOL-stage transport postprocessing"
"2000","0.1","10","0.000266071852036324","COMSOL-stage transport postprocessing"
"4000","0.1","10","0.000252796597773895","COMSOL-stage transport postprocessing"
"6000","0.1","10","0.000240244606610138","COMSOL-stage transport postprocessing"
"0","0.25","10","0.000680272108843537","COMSOL-stage transport postprocessing"
"100","0.25","10","0.000676029071997516","COMSOL-stage transport postprocessing"
"500","0.25","10","0.000659342643378714","COMSOL-stage transport postprocessing"
"1000","0.25","10","0.000639113093686963","COMSOL-stage transport postprocessing"
"2000","0.25","10","0.000600660899027267","COMSOL-stage transport postprocessing"
"4000","0.25","10","0.000531176622635739","COMSOL-stage transport postprocessing"
"6000","0.25","10","0.000470531084440846","COMSOL-stage transport postprocessing"
"0","0.5","10","0.0012987012987013","COMSOL-stage transport postprocessing"
"100","0.5","10","0.00128328467276334","COMSOL-stage transport postprocessing"
"500","0.5","10","0.00122358188153047","COMSOL-stage transport postprocessing"
"1000","0.5","10","0.0011531853487768","COMSOL-stage transport postprocessing"
"2000","0.5","10","0.00102539186254302","COMSOL-stage transport postprocessing"
"4000","0.5","10","0.000814601444730105","COMSOL-stage transport postprocessing"
"6000","0.5","10","0.000652028937661548","COMSOL-stage transport postprocessing"
"0","0.75","10","0.00186335403726708","COMSOL-stage transport postprocessing"
"100","0.75","10","0.0018317065928503","COMSOL-stage transport postprocessing"
"500","0.75","10","0.0017108523874283","COMSOL-stage transport postprocessing"
"1000","0.75","10","0.00157191717695826","COMSOL-stage transport postprocessing"
"2000","0.75","10","0.00133002599205166","COMSOL-stage transport postprocessing"
"4000","0.75","10","0.000962620582394002","COMSOL-stage transport postprocessing"
"6000","0.75","10","0.000709517944614677","COMSOL-stage transport postprocessing"
"0","1","10","0.00238095238095238","COMSOL-stage transport postprocessing"
"100","1","10","0.00232941417076206","COMSOL-stage transport postprocessing"
"500","1","10","0.00213510543616679","COMSOL-stage transport postprocessing"
"1000","1","10","0.00191685099410878","COMSOL-stage transport postprocessing"
"2000","1","10","0.00155107986906242","COMSOL-stage transport postprocessing"
"4000","1","10","0.0010356085768638","COMSOL-stage transport postprocessing"
"6000","1","10","0.000715426079824842","COMSOL-stage transport postprocessing"
