"time_s","r","concentration_pM","sensor_surface_c_avg_pM","sensor_surface_c_avg_mol_m3","source"
"0","0.5","0.5","0","0","M2 meshed COMSOL transport stage postprocessing"
"100","0.5","0.5","0.00593540098611503","5.93540098611503E-12","M2 meshed COMSOL transport stage postprocessing"
"500","0.5","0.5","0.0289209756107697","2.89209756107697E-11","M2 meshed COMSOL transport stage postprocessing"
"1000","0.5","0.5","0.0560236407209336","5.60236407209336E-11","M2 meshed COMSOL transport stage postprocessing"
"2000","0.5","0.5","0.105224132920936","1.05224132920936E-10","M2 meshed COMSOL transport stage postprocessing"
"4000","0.5","0.5","0.18637844377891","1.8637844377891E-10","M2 meshed COMSOL transport stage postprocessing"
"6000","0.5","0.5","0.248968859000304","2.48968859000304E-10","M2 meshed COMSOL transport stage postprocessing"
"0","0.5","1","0","0","M2 meshed COMSOL transport stage postprocessing"
"100","0.5","1","0.0118708019722301","1.18708019722301E-11","M2 meshed COMSOL transport stage postprocessing"
"500","0.5","1","0.0578419512215395","5.78419512215395E-11","M2 meshed COMSOL transport stage postprocessing"
"1000","0.5","1","0.112047281441867","1.12047281441867E-10","M2 meshed COMSOL transport stage postprocessing"
"2000","0.5","1","0.210448265841872","2.10448265841872E-10","M2 meshed COMSOL transport stage postprocessing"
"4000","0.5","1","0.372756887557819","3.72756887557819E-10","M2 meshed COMSOL transport stage postprocessing"
"6000","0.5","1","0.497937718000608","4.97937718000608E-10","M2 meshed COMSOL transport stage postprocessing"
"0","0.5","10","0","0","M2 meshed COMSOL transport stage postprocessing"
"100","0.5","10","0.1187080197223","1.187080197223E-10","M2 meshed COMSOL transport stage postprocessing"
"500","0.5","10","0.578419512215395","5.78419512215395E-10","M2 meshed COMSOL transport stage postprocessing"
"1000","0.5","10","1.12047281441867","1.12047281441867E-09","M2 meshed COMSOL transport stage postprocessing"
"2000","0.5","10","2.10448265841872","2.10448265841872E-09","M2 meshed COMSOL transport stage postprocessing"
"4000","0.5","10","3.72756887557819","3.72756887557819E-09","M2 meshed COMSOL transport stage postprocessing"
"6000","0.5","10","4.97937718000608","4.97937718000608E-09","M2 meshed COMSOL transport stage postprocessing"
"0","0.5","100","0","0","M2 meshed COMSOL transport stage postprocessing"
"100","0.5","100","1.187080197223","1.18708019722301E-09","M2 meshed COMSOL transport stage postprocessing"
"500","0.5","100","5.78419512215395","5.78419512215395E-09","M2 meshed COMSOL transport stage postprocessing"
"1000","0.5","100","11.2047281441867","1.12047281441867E-08","M2 meshed COMSOL transport stage postprocessing"
"2000","0.5","100","21.0448265841872","2.10448265841872E-08","M2 meshed COMSOL transport stage postprocessing"
"4000","0.5","100","37.2756887557819","3.72756887557819E-08","M2 meshed COMSOL transport stage postprocessing"
"6000","0.5","100","49.7937718000608","4.97937718000608E-08","M2 meshed COMSOL transport stage postprocessing"
"0","0.5","1000","0","0","M2 meshed COMSOL transport stage postprocessing"
"100","0.5","1000","11.87080197223","1.18708019722301E-08","M2 meshed COMSOL transport stage postprocessing"
"500","0.5","1000","57.8419512215395","5.78419512215395E-08","M2 meshed COMSOL transport stage postprocessing"
"1000","0.5","1000","112.047281441867","1.12047281441867E-07","M2 meshed COMSOL transport stage postprocessing"
"2000","0.5","1000","210.448265841872","2.10448265841872E-07","M2 meshed COMSOL transport stage postprocessing"
"4000","0.5","1000","372.756887557819","3.72756887557819E-07","M2 meshed COMSOL transport stage postprocessing"
"6000","0.5","1000","497.937718000608","4.97937718000608E-07","M2 meshed COMSOL transport stage postprocessing"
