"time_s","concentration_pM","sensor_config","surface_occupancy","gamma_mol_m2","sensor_area_m2","N_bound"
"0","0.5","full_boundary","0","0","8E-10","0"
"0","0.5","local_sensor","0","0","4E-11","0"
"100","0.5","full_boundary","0.000497384163433368","4.12828855649695E-15","8E-10","1.98889078280975"
"100","0.5","local_sensor","0.000422792365689236","3.50917663522066E-15","4E-11","0.0845310225960079"
"500","0.5","full_boundary","0.00243550852115232","2.02147207255643E-14","8E-10","9.73887149067499"
"500","0.5","local_sensor","0.00207056705380199","1.71857065465565E-14","4E-11","0.413978975533668"
"1000","0.5","full_boundary","0.00474645130541592","3.93955458349522E-14","8E-10","18.9796417868091"
"1000","0.5","local_sensor","0.00403597043793169","3.3498554634833E-14","4E-11","0.806932045070059"
"2000","0.5","full_boundary","0.00901979781094347","7.48643218308308E-14","8E-10","36.0674787173763"
"2000","0.5","local_sensor","0.00767237988023203","6.36807530059258E-14","4E-11","1.53397783321791"
"4000","0.5","full_boundary","0.0163311038183306","1.35548161692144E-13","8E-10","65.3032087575466"
"4000","0.5","local_sensor","0.0139008258056354","1.15376854186774E-13","4E-11","2.77926262543498"
"6000","0.5","full_boundary","0.0222575332853858","1.84737526268702E-13","8E-10","89.0012309475459"
"6000","0.5","local_sensor","0.0189570846524666","1.57343802615473E-13","4E-11","3.79018610825614"
"0","1","full_boundary","0","0","8E-10","0"
"0","1","local_sensor","0","0","4E-11","0"
"100","1","full_boundary","0.000994520111330116","8.25451692403996E-15","8E-10","3.97678902578967"
"100","1","local_sensor","0.000845405382214829","7.01686467238308E-15","4E-11","0.169026187003849"
"500","1","full_boundary","0.00486498654968328","4.03793883623712E-14","8E-10","19.4536288416724"
"500","1","local_sensor","0.00413677544995712","3.43352362346441E-14","4E-11","0.827086502531517"
"1000","1","full_boundary","0.00946962406395198","7.85978797308014E-14","8E-10","37.866199614115"
"1000","1","local_sensor","0.00805510962263361","6.68574098678589E-14","4E-11","1.61049893229304"
"2000","1","full_boundary","0.0179528365488656","1.49008543355584E-13","8E-10","71.7880338023914"
"2000","1","local_sensor","0.0152819839714976","1.2684046696343E-13","4E-11","3.05540458447162"
"4000","1","full_boundary","0.0323603253560781","2.68590700455448E-13","8E-10","129.399280397576"
"4000","1","local_sensor","0.0275829108605947","2.28938160142936E-13","4E-11","5.51479130286472"
"6000","1","full_boundary","0.0439226059553001","3.64557629428991E-13","8E-10","175.633388764264"
"6000","1","local_sensor","0.0374842955638586","3.11119653180027E-13","4E-11","7.49442537861001"
"0","10","full_boundary","0","0","8E-10","0"
"0","10","local_sensor","0","0","4E-11","0"
"100","10","full_boundary","0.00990066334662237","8.21755057769657E-14","8E-10","39.5897970250464"
"100","10","local_sensor","0.00842185761998771","6.9901418245898E-14","4E-11","1.68382472000172"
"500","10","full_boundary","0.0475812909820202","3.94924715150768E-13","8E-10","190.263377939266"
"500","10","local_sensor","0.0405936057730852","3.36926927916607E-13","4E-11","8.11608554299272"
"1000","10","full_boundary","0.0906346234610091","7.52267374726375E-13","8E-10","362.420801580632"
"1000","10","local_sensor","0.0776007344463207","6.44086095904461E-13","4E-11","15.5151085243821"
"2000","10","full_boundary","0.16483997698218","1.3681718089521E-12","8E-10","659.145857389868"
"2000","10","local_sensor","0.142095037274729","1.17938880938025E-12","4E-11","28.4097816834267"
"4000","10","full_boundary","0.275335517941389","2.28528479891353E-12","8E-10","1100.98453885965"
"4000","10","local_sensor","0.240244957733579","1.9940331491887E-12","4E-11","48.0333932180818"
"6000","10","full_boundary","0.349402894043899","2.90004402056436E-12","8E-10","1397.15786416279"
"6000","10","local_sensor","0.308040477343832","2.55673596195381E-12","4E-11","61.5880953961593"
"0","100","full_boundary","0","0","8E-10","0"
"0","100","local_sensor","0","0","4E-11","0"
"100","100","full_boundary","0.0946962406395198","7.85978797308014E-13","8E-10","378.66199614115"
"100","100","local_sensor","0.0810873744231614","6.73025207712239E-13","4E-11","16.2122101434854"
"500","100","full_boundary","0.384591081472285","3.19210597621996E-12","8E-10","1537.86492077071"
"500","100","local_sensor","0.338313370531298","2.80800097540977E-12","4E-11","67.6407085125398"
"1000","100","full_boundary","0.606480833001746","5.03379091391449E-12","8E-10","2425.13579520017"
"1000","100","local_sensor","0.548705400067025","4.55425482055631E-12","4E-11","109.705454345195"
"2000","100","full_boundary","0.808360765125151","6.70939435053875E-12","8E-10","3232.39337546345"
"2000","100","local_sensor","0.760912288063958","6.31557199093085E-12","4E-11","152.133054037196"
"4000","100","full_boundary","0.89792969099721","7.45281643527685E-12","8E-10","3590.55277053429"
"4000","100","local_sensor","0.87472088833922","7.26018337321553E-12","4E-11","174.887384867662"
"6000","100","full_boundary","0.907854210874956","7.53518995026214E-12","8E-10","3630.23796270528"
"6000","100","local_sensor","0.891743083538052","7.40146759336583E-12","4E-11","178.29071871131"
"0","1000","full_boundary","0","0","8E-10","0"
"0","1000","local_sensor","0","0","4E-11","0"
"100","1000","full_boundary","0.629486158840076","5.22473511837263E-12","8E-10","2517.12722532442"
"100","1000","local_sensor","0.570130500034783","4.7320831502887E-12","4E-11","113.989083276251"
"500","1000","full_boundary","0.983753135201726","8.16515102217433E-12","8E-10","3933.73510257534"
"500","1000","local_sensor","0.974961307953057","8.09217885601037E-12","4E-11","194.928960503961"
"1000","1000","full_boundary","0.990058337074034","8.21748419771448E-12","8E-10","3958.94772253698"
"1000","1000","local_sensor","0.988190127994631","8.20197806235544E-12","4E-11","197.573865607746"
"2000","1000","full_boundary","0.990099008230168","8.2178217683104E-12","8E-10","3959.11035434859"
"2000","1000","local_sensor","0.98837205952244","8.20348809403625E-12","4E-11","197.610240101082"
"4000","1000","full_boundary","0.99009900990099","8.21782178217822E-12","8E-10","3959.1103610297"
"4000","1000","local_sensor","0.988372093023255","8.20348837209301E-12","4E-11","197.61024679907"
"6000","1000","full_boundary","0.99009900990099","8.21782178217822E-12","8E-10","3959.1103610297"
"6000","1000","local_sensor","0.988372093023256","8.20348837209302E-12","4E-11","197.61024679907"
