"time_s","concentration_pM","sensor_config","surface_occupancy","gamma_mol_m2","sensor_area_m2","N_bound"
"0","0.5","full_boundary","0","0","8E-10","0"
"100","0.5","full_boundary","0.000497384163433368","4.12828855649695E-15","8E-10","1.98889078280975"
"500","0.5","full_boundary","0.00243550852115232","2.02147207255643E-14","8E-10","9.73887149067499"
"1000","0.5","full_boundary","0.00474645130541592","3.93955458349522E-14","8E-10","18.9796417868091"
"2000","0.5","full_boundary","0.00901979781094347","7.48643218308308E-14","8E-10","36.0674787173763"
"4000","0.5","full_boundary","0.0163311038183306","1.35548161692144E-13","8E-10","65.3032087575466"
"6000","0.5","full_boundary","0.0222575332853858","1.84737526268702E-13","8E-10","89.0012309475459"
"0","1","full_boundary","0","0","8E-10","0"
"100","1","full_boundary","0.000994520111330116","8.25451692403996E-15","8E-10","3.97678902578967"
"500","1","full_boundary","0.00486498654968328","4.03793883623712E-14","8E-10","19.4536288416724"
"1000","1","full_boundary","0.00946962406395198","7.85978797308014E-14","8E-10","37.866199614115"
"2000","1","full_boundary","0.0179528365488656","1.49008543355584E-13","8E-10","71.7880338023914"
"4000","1","full_boundary","0.0323603253560781","2.68590700455448E-13","8E-10","129.399280397576"
"6000","1","full_boundary","0.0439226059553001","3.64557629428991E-13","8E-10","175.633388764264"
"0","10","full_boundary","0","0","8E-10","0"
"100","10","full_boundary","0.00990066334662237","8.21755057769657E-14","8E-10","39.5897970250464"
"500","10","full_boundary","0.0475812909820202","3.94924715150768E-13","8E-10","190.263377939266"
"1000","10","full_boundary","0.0906346234610091","7.52267374726375E-13","8E-10","362.420801580632"
"2000","10","full_boundary","0.16483997698218","1.3681718089521E-12","8E-10","659.145857389868"
"4000","10","full_boundary","0.275335517941389","2.28528479891353E-12","8E-10","1100.98453885965"
"6000","10","full_boundary","0.349402894043899","2.90004402056436E-12","8E-10","1397.15786416279"
"0","100","full_boundary","0","0","8E-10","0"
"100","100","full_boundary","0.0946962406395198","7.85978797308014E-13","8E-10","378.66199614115"
"500","100","full_boundary","0.384591081472285","3.19210597621996E-12","8E-10","1537.86492077071"
"1000","100","full_boundary","0.606480833001746","5.03379091391449E-12","8E-10","2425.13579520017"
"2000","100","full_boundary","0.808360765125151","6.70939435053875E-12","8E-10","3232.39337546345"
"4000","100","full_boundary","0.89792969099721","7.45281643527685E-12","8E-10","3590.55277053429"
"6000","100","full_boundary","0.907854210874956","7.53518995026214E-12","8E-10","3630.23796270528"
"0","1000","full_boundary","0","0","8E-10","0"
"100","1000","full_boundary","0.629486158840076","5.22473511837263E-12","8E-10","2517.12722532442"
"500","1000","full_boundary","0.983753135201726","8.16515102217433E-12","8E-10","3933.73510257534"
"1000","1000","full_boundary","0.990058337074034","8.21748419771448E-12","8E-10","3958.94772253698"
"2000","1000","full_boundary","0.990099008230168","8.2178217683104E-12","8E-10","3959.11035434859"
"4000","1000","full_boundary","0.99009900990099","8.21782178217822E-12","8E-10","3959.1103610297"
"6000","1000","full_boundary","0.99009900990099","8.21782178217822E-12","8E-10","3959.1103610297"
