"time_s","concentration_pM","sensor_config","surface_occupancy","gamma_mol_m2","sensor_area_m2","N_bound"
"0","0.5","local_sensor","0","0","4E-11","0"
"100","0.5","local_sensor","0.000422792365689236","3.50917663522066E-15","4E-11","0.0845310225960079"
"500","0.5","local_sensor","0.00207056705380199","1.71857065465565E-14","4E-11","0.413978975533668"
"1000","0.5","local_sensor","0.00403597043793169","3.3498554634833E-14","4E-11","0.806932045070059"
"2000","0.5","local_sensor","0.00767237988023203","6.36807530059258E-14","4E-11","1.53397783321791"
"4000","0.5","local_sensor","0.0139008258056354","1.15376854186774E-13","4E-11","2.77926262543498"
"6000","0.5","local_sensor","0.0189570846524666","1.57343802615473E-13","4E-11","3.79018610825614"
"0","1","local_sensor","0","0","4E-11","0"
"100","1","local_sensor","0.000845405382214829","7.01686467238308E-15","4E-11","0.169026187003849"
"500","1","local_sensor","0.00413677544995712","3.43352362346441E-14","4E-11","0.827086502531517"
"1000","1","local_sensor","0.00805510962263361","6.68574098678589E-14","4E-11","1.61049893229304"
"2000","1","local_sensor","0.0152819839714976","1.2684046696343E-13","4E-11","3.05540458447162"
"4000","1","local_sensor","0.0275829108605947","2.28938160142936E-13","4E-11","5.51479130286472"
"6000","1","local_sensor","0.0374842955638586","3.11119653180027E-13","4E-11","7.49442537861001"
"0","10","local_sensor","0","0","4E-11","0"
"100","10","local_sensor","0.00842185761998771","6.9901418245898E-14","4E-11","1.68382472000172"
"500","10","local_sensor","0.0405936057730852","3.36926927916607E-13","4E-11","8.11608554299272"
"1000","10","local_sensor","0.0776007344463207","6.44086095904461E-13","4E-11","15.5151085243821"
"2000","10","local_sensor","0.142095037274729","1.17938880938025E-12","4E-11","28.4097816834267"
"4000","10","local_sensor","0.240244957733579","1.9940331491887E-12","4E-11","48.0333932180818"
"6000","10","local_sensor","0.308040477343832","2.55673596195381E-12","4E-11","61.5880953961593"
"0","100","local_sensor","0","0","4E-11","0"
"100","100","local_sensor","0.0810873744231614","6.73025207712239E-13","4E-11","16.2122101434854"
"500","100","local_sensor","0.338313370531298","2.80800097540977E-12","4E-11","67.6407085125398"
"1000","100","local_sensor","0.548705400067025","4.55425482055631E-12","4E-11","109.705454345195"
"2000","100","local_sensor","0.760912288063958","6.31557199093085E-12","4E-11","152.133054037196"
"4000","100","local_sensor","0.87472088833922","7.26018337321553E-12","4E-11","174.887384867662"
"6000","100","local_sensor","0.891743083538052","7.40146759336583E-12","4E-11","178.29071871131"
"0","1000","local_sensor","0","0","4E-11","0"
"100","1000","local_sensor","0.570130500034783","4.7320831502887E-12","4E-11","113.989083276251"
"500","1000","local_sensor","0.974961307953057","8.09217885601037E-12","4E-11","194.928960503961"
"1000","1000","local_sensor","0.988190127994631","8.20197806235544E-12","4E-11","197.573865607746"
"2000","1000","local_sensor","0.98837205952244","8.20348809403625E-12","4E-11","197.610240101082"
"4000","1000","local_sensor","0.988372093023255","8.20348837209301E-12","4E-11","197.61024679907"
"6000","1000","local_sensor","0.988372093023256","8.20348837209302E-12","4E-11","197.61024679907"
